sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,وی افزود: «اکنون موش‌های 4 ماهه‌ای داریم که دیابت ندارند در حالی که قبلاً دیابت داشتند.»,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,7.269174575805664,1435.3651787806016
1,دکتر ایهود اور، استاد پزشکی دانشگاه دالهاوزی در هلیفکس، نوااسکوشیا و رئیس بخش کلینیکی و علمی انجمن دیابت کانادا هشدار داد که این تحقیق هنوز در روزهای آغازین خود می‌باشد.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,7.278564453125,1448.906558168483
2,مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,6.065976142883301,430.9431344996922
3,روز دوشنبه، سارا دانیوس، دبیر دائمی‌ کمیته ادبیات نوبل در آکادمی‌ سوئد، طی یک برنامه رادیویی که از رادیو Sveriges در سوئد پخش می‌شد به طور علنی اعلام کرد این کمیته، نتوانست در مورد برنده شدن جایزه نوبل ادبیات سال 2016 بطور مستقیم به باب دیلان دسترسی پیدا کند و دست از تلاش‌ برای تماس با او برداشته است.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,7.149043560028076,1272.8879318853908
4,دانیوس گفت، «در حال حاضر هیچ کاری نمی‌کنیم. من به نزدیکترین همکار وی ایمیل فرستاده‌ام و با وی تماس گرفته‌ام و پاسخ‌های بسیار صمیمانه‌ای دریافت کردم. فعلاً مطمئناً تا این حد کافی است.»,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,7.816741943359375,2481.806355944735
5,پیش از این، مدیرعامل رینگ، جیمی‌ سیمینوف، خاطر نشان کرد كه شركت هنگامی‌ شروع به کار می‌کند كه صدای زنگ در وی از گاراژ وی شنیده نشود.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,7.605472087860107,2009.160169982287
6,وی گفت که یک زنگ درب WiFi ساخته است.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,5.978175640106201,394.7196002771874
7,سیمینوف گفت پس از ظاهر شدن وی در سال 2013 در یک قسمت از نمایش Shark Tank، فروش افزایش یافت، جایی که نشست نمایش از پرداخت بودجه برای راه‌اندازی خودداری کرده بود.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,6.089382648468018,441.1489830621497
8,در اواخر سال 2017، سیمینوف در کانال تلویزیونی فروشگاهی QVC ظاهر شد.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,6.735769271850586,841.990954954737
9,رینگ همچنین یک دعوای قانونی را با شرکت امنیتی رقیب، شرکت ADT، حل و فصل کرد.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,6.368479251861572,583.1702990609901
10,با اینکه بنظر می‌رسد یک واکسن تجربی بتواند میزان مرگ و میر ایبولا را کاهش دهد، تا به امروز هیچ دارویی نبوده که به وضوح ثابت شود برای درمان عفونت کنونی است.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,6.939510345458984,1032.2646381239163
11,شربت حاوی پادتن ZMapp، در ابتدا انتظاراتی را در این زمینه ایجاد کرد، اما مطالعات رسمی‌ نشان می‌دهد که مفید بودن این شربت در پیشگیری از مرگ کمتر از حد انتظار است.,BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,6.617415428161621,748.0093127979566
