sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.393841743469238,1625.940576251646
1,埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.370675086975098,1588.7059357900655
2,和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.748654842376709,2318.4516332215335
3,周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,6.362675189971924,579.7953462449137
4,达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,8.501447677612305,4921.888993718721
5,此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.396877288818359,1630.8836913351263
6,他称，他制作了一个 WiFi 门铃。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,6.999261379241943,1095.8234614799687
7,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,6.836705207824707,931.4152539201756
8,2017 年年末，西米诺夫出现在 QVC 电视销售频道。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.285971641540527,1459.678728536602
9,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.464663505554199,1745.2681763562628
10,虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.685186862945557,2175.87652631741
11,一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.751582145690918,2325.2483875985954
12,在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,6.692574977874756,806.3960329714481
13,美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.31490421295166,1502.5278664382142
14,我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,BeetleLM/beetlelm_zho-fra_heritage,step-16000,zho,7.455536842346191,1729.4121677896737
