sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,7.238654613494873,1392.219636785785
1,埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,7.200129985809326,1339.6048827025734
2,和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,7.061089038848877,1165.7139825657061
3,周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,6.489937782287598,658.4823926725578
4,达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,8.314530372619629,4082.7676075619174
5,此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,7.082047462463379,1190.403331201631
6,他称，他制作了一个 WiFi 门铃。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,7.67388391494751,2151.4211762259974
7,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,6.514517784118652,674.8684507614666
8,2017 年年末，西米诺夫出现在 QVC 电视销售频道。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,6.912344455718994,1004.599723135342
9,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,BeetleLM/beetlelm_zho-eng_balanced,step-18341,zho,6.9985809326171875,1095.0780657340463
