sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.919051647186279,1011.3604131025066
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.6199846267700195,749.9335681220509
2,"Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.338155269622803,565.7516888280256
3,"Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.690531253814697,804.7496649309635
4,Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.9073967933654785,999.6415786316326
5,"Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.156804084777832,471.91745403764276
6,"Er sagte, dass er eine WLAN-Türklingel gebaut habe.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,5.201001167297363,181.4538165938049
7,"Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,6.568241596221924,712.1165531234108
8,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,7.3997650146484375,1635.600042783944
9,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,BeetleLM/beetlelm_bul-deu_heritage,step-8000,deu,7.527763843536377,1858.9439628045623
