sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.214128017425537,499.76001711189394
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.5200276374816895,678.5971397963041
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.126784801483154,457.9613543855202
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.614683151245117,745.9683337489563
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.7561750411987305,859.3489272534694
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,5.97251033782959,392.48971687300366
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,5.918979167938232,372.03173803723683
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.598443984985352,733.9522595288172
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.869351863861084,962.3246462608392
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_bul-fra_late,step-30000,bul,7.778618812561035,2388.972921400419
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,7.0303144454956055,1130.3859990939322
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.492045879364014,659.8720016801384
12,"ZMapp служи като контрола в проучването PALM, което означава, че учените го използват като базова линия и сравняват другите три лечения с него.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,7.2790846824646,1449.6605179693809
13,Американската гимнастическа асоциация подкрепя писмото на Олимпийския комитет на САЩ и приема необходимостта олимпийското семейство да осигури безопасна среда за всички наши спортисти.,BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.687055587768555,801.9574790086798
14,"Съгласни сме с изявлението на ОК на САЩ, че интересите на нашите спортисти и клубове, и на техния спорт, могат да бъдат по - добре обслужени чрез преминаване към значима промяна в нашата организация, а не чрез десертификация.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.329422950744629,560.8328722689936
15,"Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.661567687988281,781.7755571153958
16,"Американската гимнастика и Олимпийският комитет на САЩ имат еднаква цел — да направят спортната гимнастика, както и други, възможно най - безопасни за спортистите, за да следват мечтите си в безопасна, позитивна и пълноценна среда.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.5242767333984375,681.4866987912561
17,"През 60-те години Бжежински работи като съветник на Джон Ф. Кенеди, а след това и в администрацията на Линдън Б. Джонсън.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.241189479827881,513.468908752124
18,"По време на изборите през 1976 г. съветва Картър по външната политика, след което от 1977 до 1981 г. е съветник по националната сигурност (НАС), наследявайки Хенри Кисинджър.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.627878665924072,755.877001053738
19,"Като съветник по националната сигурност той е помагал на Картър да се справя дипломатично със световните дела, като например споразумението в Кемп Дейвид през 1978 г.; нормализирането на американско-китайските отношения в края на 1970-те години; иранската революция, довела до кризата с иранските заложници през 1979 г. и съветската инвазия в Афганистан през 1979 г.",BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.654415607452393,776.2041825786197
20,С участието на Райън Гослинг и Ема Стоун филмът получи номинации във всички главни категории.,BeetleLM/beetlelm_bul-fra_late,step-30000,bul,6.73553466796875,841.7934437775842
