sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,وی افزود: «اکنون موش‌های 4 ماهه‌ای داریم که دیابت ندارند در حالی که قبلاً دیابت داشتند.»,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.431229591369629,1687.8817027141795
1,دکتر ایهود اور، استاد پزشکی دانشگاه دالهاوزی در هلیفکس، نوااسکوشیا و رئیس بخش کلینیکی و علمی انجمن دیابت کانادا هشدار داد که این تحقیق هنوز در روزهای آغازین خود می‌باشد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.845425605773926,939.5730836541605
2,مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.642149925231934,282.0684932274578
3,روز دوشنبه، سارا دانیوس، دبیر دائمی‌ کمیته ادبیات نوبل در آکادمی‌ سوئد، طی یک برنامه رادیویی که از رادیو Sveriges در سوئد پخش می‌شد به طور علنی اعلام کرد این کمیته، نتوانست در مورد برنده شدن جایزه نوبل ادبیات سال 2016 بطور مستقیم به باب دیلان دسترسی پیدا کند و دست از تلاش‌ برای تماس با او برداشته است.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.273754596710205,530.4653269402479
4,دانیوس گفت، «در حال حاضر هیچ کاری نمی‌کنیم. من به نزدیکترین همکار وی ایمیل فرستاده‌ام و با وی تماس گرفته‌ام و پاسخ‌های بسیار صمیمانه‌ای دریافت کردم. فعلاً مطمئناً تا این حد کافی است.»,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.066564559936523,1172.1143808262009
5,پیش از این، مدیرعامل رینگ، جیمی‌ سیمینوف، خاطر نشان کرد كه شركت هنگامی‌ شروع به کار می‌کند كه صدای زنگ در وی از گاراژ وی شنیده نشود.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.332304000854492,1528.9003046913376
6,وی گفت که یک زنگ درب WiFi ساخته است.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.287118434906006,537.6019599303154
7,سیمینوف گفت پس از ظاهر شدن وی در سال 2013 در یک قسمت از نمایش Shark Tank، فروش افزایش یافت، جایی که نشست نمایش از پرداخت بودجه برای راه‌اندازی خودداری کرده بود.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.213708400726318,499.55035345537414
8,در اواخر سال 2017، سیمینوف در کانال تلویزیونی فروشگاهی QVC ظاهر شد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.083688259124756,438.64404780130087
9,رینگ همچنین یک دعوای قانونی را با شرکت امنیتی رقیب، شرکت ADT، حل و فصل کرد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.545450687408447,256.06995974736236
10,با اینکه بنظر می‌رسد یک واکسن تجربی بتواند میزان مرگ و میر ایبولا را کاهش دهد، تا به امروز هیچ دارویی نبوده که به وضوح ثابت شود برای درمان عفونت کنونی است.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.124889373779297,457.0941438741677
11,شربت حاوی پادتن ZMapp، در ابتدا انتظاراتی را در این زمینه ایجاد کرد، اما مطالعات رسمی‌ نشان می‌دهد که مفید بودن این شربت در پیشگیری از مرگ کمتر از حد انتظار است.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.053090572357178,425.42580962695064
12,در آزمایش PALM، ZMapp به عنوان شاهد عمل می‌کرد، به این معنی که دانشمندان از آن به عنوان یک مرجع استفاده می‌کردند و سه روش درمانی دیگر را با آن مقایسه می‌کردند.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.1548752784729,471.00809394854815
13,هیأت ژیمناستیک ایالات متحده آمریکا از نامه کمیته المپیک ایالات متحده حمایت می‌کند و نیاز قاطع خانواده المپیک به ترویج محیطی امن برای تمام ورزشکارهای ما را می‌پذیرد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.08723783493042,1196.598030367494
14,ما با بیانیه USOC موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار، بهتر می‌توان در خدمت منافع ورزشکاران و باشگاه‌های ما و ورزش آنها بود.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.847708225250244,941.7202210909214
15,هیأت ژیمناستیک ایالت متحده آمریکا از یک تحقیق مستقل حمایت می‌کند که احتمالاً بتواند روشن سازد که موضوع سوء استفاده از بخشی که بازماندگان لری نصار با جسارت بیان کرده بودند چطور مدت‌ها کشف‌نشده باقی ماند و ضمناً تغییرات لازم و مناسب را دربر گیرد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.83306884765625,928.03444323858
16,هیأت ژیمناستیک ایالات متحده آمریکا و USOC نیز همان هدف را دارد - امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن تا رؤیاهای خود را در محیطی امن، مثبت و توانمند دنبال کنند.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.597558975219727,733.3029919580798
17,در طی دهه 1960، برژینسکی برای جان اف کندی به عنوان مشاور و سپس دولت لیندون بی جانسون کار می‌کرد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.872685432434082,965.5379744077753
18,در طی تصمیم‌گیری برای جانشین در سال 1976، او مشاور کارتر در سیاست خارجه شد، سپس با جانشین شدن بجای هنری کیسینجر به عنوان مشاور امنیت ملی (NSA) از سال 1977 تا 1981 خدمت کرد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.971441268920898,392.07034252969163
19,او به عنوان مشاور امنیت ملی در امور سیاسی جهان به کاربر مشاوره داد؛ اموری مثل پیمان کمپ دیوید، 1978؛ عادی کردن روابط ایالت متحده و چین در اواخر دهه هفتاد؛ انقلاب ایران که منجر به بحران گروگانگیری در ایران شد، 1979؛ و حمله شوری به افغانستان، 1979.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.983321666717529,396.7560732221258
20,این فیلم با بازی رایان گاسلینگ و اما استون در تمام دسته‌بندی‌های اصلی کاندید شد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.062768936157227,1167.67390812324
21,گوسلینگ و استون به ترتیب نامزد بهترین بازیگر مرد و بازیگر زن شدند.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.902021884918213,365.7762782592956
22,نامزدهای دیگر شامل بهترین تصویر، کارگردان، فیلمبرداری، طراحی صحنه و لباس، ویرایش فیلم، امتیاز اصلی، طراحی تولید، ویرایش صدا، ترکیب صدا و فیلمنامه اصلی است.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.862853050231934,351.72620640779473
23,دو ترانه از این فیلم با نام‌های «شنوایی» (احمق‌هایی که رویا می‌بینند) و «شهر ستارگان»، نامزد دریافت بهترین آهنگ اصلی شدند. نامزدههای استودیوی Lionsgate 26 بیشتر از هر استودیوی دیگری بود.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.355383396148682,1564.5967407815383
24,اواخر روز یکشنبه،‌ رئیس جمهور ایالات متحده، دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,4.50968599319458,90.89327292274506
25,این اعلامیه پس از مکالمه تلفنی ترامپ با رئیس‌جمهور ترکیه،‌ رجب طیب اردوغان، منتشر شد.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.061263084411621,428.9168530511008
26,ترکیه همچنین محافظت از جنگجویان اسیر داعش را بر عهده خواهد گرفت، که به گفته این بیانیه، کشور‌های اروپایی از بازگشت آنها به وطن خود جلوگیری کرده‌اند.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,5.737059593200684,310.1510984854952
27,این امر نه تنها تأیید می‌کند که حداقل برخی از دایناسورها دارای پر بودند، نظریه‌ای که قبلاً در محافل علمی شایع شده است، بلکه اطلاعاتی را در اختیار قرار می‌دهد که فسیل‌ها به طور کلی نمی‌توانند این اطلاعات را بدهند، مواردی از قبیل رنگ و چیدمان سه‌بعدی.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.567487716674805,711.5799053281607
28,دانشمندان می گویند که پرهای زینتی این حیوان در بالای به رنگ شاه بلوط قهوه ای و در پایین به رنگ کاروتنوئید بود.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.796564102172852,894.7676737478295
29,این یافته همچنین شناخت ما را در مورد تکامل پرها در پرندگان بیشتر می‌کند.,BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,7.163814067840576,1291.8286708402416
