sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.050276279449463,156.06557624215898
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.365624904632568,213.92487556594983
2,"À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.7733473777771,321.6124913384711
3,"Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,6.1766510009765625,481.3771223107505
4,"Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.092034339904785,162.72055448635473
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.28155517578125,196.67550261657422
6,Il dit avoir conçu une sonnette de porte Wi-Fi.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,7.368013858795166,1584.4836475122918
7,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.8374457359313965,342.9023579471059
8,"Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,6.400328159332275,602.0425713472974
9,"Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.795644283294678,328.8639973204211
