sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.691676616668701,109.03583794417227
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.0506367683410645,156.12184629051
2,"À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.333290100097656,207.11829430223747
3,"Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.703357219696045,299.8724506343755
4,"Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.856635093688965,128.5907773811867
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.071140766143799,159.3560116368349
6,Il dit avoir conçu une sonnette de porte Wi-Fi.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,7.3554511070251465,1564.702684584904
7,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.736567974090576,309.9986597524263
8,"Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.504570484161377,668.1886101193882
9,"Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.787099361419678,326.0658521474545
10,"Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.622803211212158,276.66384442919076
11,"Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.3041582107543945,201.17158703918918
12,"Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.3448486328125,209.52616681183713
13,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.912524223327637,135.98223107334618
14,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.678069114685059,107.56218169219535
15,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.1871161460876465,486.44125597746637
16,"USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.890252113342285,361.4964109530794
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.183278560638428,178.26631086079345
18,"Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.799445629119873,121.44307434990101
19,"Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.4150614738464355,82.68692383313103
20,"Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.539254665374756,254.48824984953134
21,Golsling et Stone ont respectivement été nominés pour le Meilleur Acteur et la Meilleure Actrice.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.9651994705200195,1059.1261608031098
22,"Parmi les autres nominations figurent celles du meilleur film, du meilleur réalisateur, de la meilleure cinématographie, des meilleurs costumes, du meilleur montage, de la meilleure musique originale, des meilleurs décors, du meilleur montage sonore, du meilleur mixage et du meilleur scénario original.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.143399715423584,171.29714104287615
23,"Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont été nominées pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que tout autre studio.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.336134910583496,564.6098211692331
24,"Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.805354595184326,122.1628016830328
25,L’annonce a été faite après que M. Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.841441631317139,935.8372950729575
26,"La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.75676155090332,316.32227481745383
27,"Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà très répandue, mais fournit des détails que les fossiles ne peuvent généralement pas fournir, comme la couleur et la disposition tridimensionnelle.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.221096515655518,185.13707851689654
28,Les scientifiques disent que le plumage de cet animal était brun châtain sur le dessus et de couleur pâle ou caroténoïde sur le dessous.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.6996917724609375,298.77529599892716
29,Cette découverte permet également de mieux comprendre l'évolution des plumes chez les oiseaux.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.18597936630249,178.74842427714194
30,"Étant donné que les plumes de dinosaure n'ont pas une tige entièrement développée, que l'on appelle rachis, mais montrent cependant d'autres caractéristiques propres aux plumes – barbes et barbules – les chercheurs en ont déduit que le rachis était probablement un développement évolutif ultérieur à ces autres caractéristiques.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.565561294555664,261.2718130066083
31,"La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.376938343048096,216.35884378495734
32,"Les scientifiques précisent qu'il s'agit certes de la queue d'un dinosaure juvénile, mais l'échantillon révèle un plumage appartenant à un individu adulte, et non à un jeune.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.399025917053223,81.3715673920805
33,"Une voiture piégée a explosé au siège de la police à Gaziantep, en Turquie, hier matin, tuant deux officiers de police et blessant plus de vingt autres personnes.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.734413146972656,309.3313854224787
34,Le bureau du gouverneur a déclaré que dix-neuf des blessés étaient des officiers de police.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.408089637756348,223.20477814916293
35,La police a déclaré soupçonner un militant présumé de Daesh (ÉI) comme le suspect à l'origine de cette attaque.,BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.728870868682861,307.6217268786893
36,"Ils ont constaté que le Soleil fonctionnait selon les mêmes principes de base que les autres étoiles. L'activité de toutes les étoiles du système est déterminée par leur luminosité, leur rotation et rien d'autre.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.637332916259766,103.26855408311278
37,"La luminosité et la rotation sont utilisées conjointement afin de déterminer le nombre de Rossby d'une étoile, qui est lié au flux de plasma.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.682056427001953,293.5524788910221
38,"En ce qui concerne les inversions magnétiques, plus le nombre de Rossby est petit, moins l’étoile est active .",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.943455219268799,381.24995857611367
39,"Au cours de son voyage, Iwasaki a eu des problèmes à de nombreuses occasions.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,4.783255577087402,119.49273530387076
40,"Il a été volé par des pirates, attaqué au Tibet par un chien enragé, a échappé à un mariage au Népal et a été arrêté en Inde.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.160452842712402,174.24334256993654
41,"La norme 802.11n fonctionne à la fois sur les fréquences 2,4 GHz et 5,0 GHz.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.028122901916504,414.93542342438855
42,"Ceci autorisera la rétro-compatibilité avec les itérations 802.11a, b et g, sous réserve que la station possède deux radios.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.324118137359619,557.8656358176739
43,"Les vitesses de la norme Wi-Fi 802.11n sont sensiblement plus rapides que celles de ses prédécesseurs, avec un débit théorique maximum de 600 Mbit/s.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,6.251227378845215,518.6490129930696
44,"Duvall, qui est marié et a deux enfants adultes, n’a pas fait bonne impression à Miller, à qui l’histoire a été relatée.",BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.645807266235352,283.1020026897472
