sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.590503692626953,1979.3102266741814
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.592078685760498,1982.4300829215051
2,"Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.313395977020264,1500.2634080201644
3,"Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.7847723960876465,2403.7189898651477
4,Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.514246940612793,1833.9858558731073
5,"Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.513763427734375,1833.0993144373288
6,"Er sagte, dass er eine WLAN-Türklingel gebaut habe.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,5.980444431304932,395.6161532934816
7,"Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.681370258331299,2167.587893206043
8,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.471289157867432,1756.87010922984
9,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,8.420099258422852,4537.35380342347
10,"Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.535363674163818,1873.125442231548
11,"Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.597172737121582,1992.5544487099367
12,"In der PALM-Studie diente ZMapp als Kontrolle, d.h. die Wissenschaftler verwendeten es als Ausgangsbasis und verglichen die drei anderen Behandlungen damit.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.164568901062012,1292.804154154684
13,"USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert es als absolute Notwendigkeit, dass sich die olympische Familie für ein sicheres Umfeld für alle unsere Sportler einsetzt.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.719566345214844,2251.9827856770453
14,"Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.791884899139404,2420.8763922250555
15,"USA Gymnastics unterstützt eine unabhängige Untersuchung, die ans Licht bringen könnte, wie Missbrauch in dem Ausmaß, das von den Überlebenden von Lary Nassar so mutig beschrieben wurde, so lange unentdeckt bleiben konnte, und heißt alle notwendigen und angemessenen Veränderungen willkommen.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.623600006103516,2045.9141917245468
16,"USA Gymnastics und das USOC haben das gleiche Ziel - den Turnsport und andere Sportarten für die Athleten so sicher wie möglich zu machen, damit sie ihren Träumen in einer sicheren, positiven und selbstbestimmten Umgebung folgen können.",BeetleLM/beetlelm_deu-ukr_simultaneous,step-2000,deu,7.605135440826416,2008.4839060083689
