sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.971896171569824,392.2487369400422
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.915424823760986,370.71175641953215
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.937307357788086,378.91327679900843
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.494842529296875,243.43318954678037
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.473196029663086,238.22033665520294
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.539154052734375,254.46264640280486
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,6.303192615509033,546.313297162478
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,7.24730920791626,1404.3210238513993
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,6.860860824584961,954.1881026342903
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,6.731118202209473,838.0838894462216
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.922667026519775,373.4062714595637
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,6.911607265472412,1003.8594149252502
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.650354385375977,284.3922324159725
