sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.113332748413086,451.842084590456
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.864401340484619,352.27120246195705
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.966800212860107,390.2549380457885
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.481097221374512,240.1100167361061
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.8775634765625,356.9384923366792
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.393708229064941,220.01775091285384
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.485405445098877,655.5046815289702
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,7.375265598297119,1596.0156732555924
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.132164478302002,460.43167727925686
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.60094690322876,735.791582906783
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.103600978851318,447.46618868593106
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,7.351891040802002,1559.142143228872
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.020737171173096,411.88211146067874
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.413456916809082,224.40600124547112
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.963176727294922,388.8434137743495
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,6.689085483551025,803.5870224551837
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.710488796234131,302.0186577918195
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.504047870635986,245.68442092937616
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,4.933382511138916,138.84837510156882
