sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.72198486328125,2257.43583822448
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.317041397094727,1505.7424790548598
2,"À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.83179235458374,2519.4410606731512
3,"Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.785105228424072,2404.5191584262548
4,"Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,8.008442878723145,3006.2323980641822
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.127139568328857,1245.3097440146864
6,Il dit avoir conçu une sonnette de porte Wi-Fi.,BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,8.161273956298828,3502.645980544124
7,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.751719951629639,2325.568842715209
8,"Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.4968791007995605,1802.408492354789
9,"Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.8090500831604,2462.7898782165744
10,"Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,8.220849990844727,3717.661017744489
11,"Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.623720169067383,2046.1600496088524
12,"Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.5164384841918945,1838.009523210441
13,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,8.22652816772461,3738.830600020439
14,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.383899688720703,1609.8554779818473
