repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_deu_mono,step-1000,1000,deu,6.2095,497.47
BeetleLM/beetlelm_deu_mono,step-2000,2000,deu,5.3004,200.41
BeetleLM/beetlelm_deu_mono,step-3000,3000,deu,4.8578,128.74
BeetleLM/beetlelm_deu_mono,step-4000,4000,deu,4.6137,100.86
BeetleLM/beetlelm_deu_mono,step-5000,5000,deu,4.2572,70.61
BeetleLM/beetlelm_deu_mono,step-6000,6000,deu,4.065,58.26
BeetleLM/beetlelm_deu_mono,step-7000,7000,deu,3.9107,49.94
BeetleLM/beetlelm_deu_mono,step-8000,8000,deu,3.848,46.9
BeetleLM/beetlelm_deu_mono,step-9000,9000,deu,3.8206,45.63
BeetleLM/beetlelm_deu_mono,step-10000,10000,deu,3.831,46.11
BeetleLM/beetlelm_deu_mono,step-11000,11000,deu,3.8951,49.16
BeetleLM/beetlelm_deu_mono,step-12000,12000,deu,4.0226,55.85
BeetleLM/beetlelm_deu_mono,step-13000,13000,deu,4.1747,65.02
BeetleLM/beetlelm_deu_mono,step-14000,14000,deu,4.2918,73.1
BeetleLM/beetlelm_deu_mono,step-15000,15000,deu,4.335,76.33
BeetleLM/beetlelm_deu_mono,step-16000,16000,deu,4.5131,91.2
BeetleLM/beetlelm_deu_mono,step-17000,17000,deu,4.5276,92.54
BeetleLM/beetlelm_deu_mono,step-18000,18000,deu,4.7734,118.32
BeetleLM/beetlelm_deu_mono,step-19000,19000,deu,4.7876,120.01
BeetleLM/beetlelm_deu_mono,step-20000,20000,deu,5.1192,167.2
BeetleLM/beetlelm_deu_mono,step-21000,21000,deu,5.1658,175.18
BeetleLM/beetlelm_deu_mono,step-22000,22000,deu,5.4777,239.3
BeetleLM/beetlelm_deu_mono,step-23000,23000,deu,5.5431,255.47
BeetleLM/beetlelm_deu_mono,step-24000,24000,deu,5.6025,271.09
BeetleLM/beetlelm_deu_mono,step-25000,25000,deu,5.5639,260.83
BeetleLM/beetlelm_deu_mono,step-26000,26000,deu,5.683,293.82
BeetleLM/beetlelm_deu_mono,step-27000,27000,deu,5.909,368.35
BeetleLM/beetlelm_deu_mono,step-28000,28000,deu,6.0824,438.09
BeetleLM/beetlelm_deu_mono,step-29000,29000,deu,6.3038,546.66
BeetleLM/beetlelm_deu_mono,step-30000,30000,deu,6.3336,563.19
