sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.202777862548828,494.119733116084
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.039150238037109,154.33880803796384
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.213535308837891,183.74249777753968
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.097084045410156,163.54432351119559
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.07865047454834,436.4398104809648
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.005622863769531,405.70360813217206
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.668902397155762,787.5307339337936
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,7.199615478515625,1338.915823497939
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.781583309173584,324.2722073384892
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.468127727508545,644.2763361743645
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.862448215484619,351.58384423642093
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.908576011657715,1000.8210695688003
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.530360698699951,252.23487540880103
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.86338996887207,129.46233234061364
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.605163097381592,271.8262559697103
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.501418590545654,666.0858662583269
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.071864604949951,159.47140145882864
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.2499895095825195,190.56426934940194
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.7836012840271,119.53405191301648
19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.1689300537109375,175.72671871294503
20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.766658782958984,117.52590565687358
21,Gosling and Stone received nominations for Best Actor and Actress respectively.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.225224494934082,68.38985500132236
22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,3.7562265396118164,42.786667181744114
23,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.206435203552246,182.44252712324615
24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.925424575805664,374.4373786678614
25,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,7.123144149780273,1240.3441368099334
26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.679957866668701,796.2855611457493
27,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.447428226470947,232.16033369194955
28,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.301932334899902,200.72430204609552
29,The find also grants insight into the evolution of feathers in birds.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.902097702026367,365.80401141025504
30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.1383748054504395,170.4385473151748
31,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.258544445037842,192.20152770808855
32,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.7525858879089355,315.00417348888766
33,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.295400619506836,542.0729679037057
34,The governor's office said nineteen of the injured were police officers.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.0868988037109375,440.054597178449
35,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.723550796508789,305.989502714319
36,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.940964698791504,139.905150809916
37,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.908888339996338,135.4887132762773
38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.7369065284729,842.9490594462632
39,"During his trip, Iwasaki ran into trouble on many occasions.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.141806602478027,464.89268893850175
40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.608631610870361,272.7707260118062
41,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.393447399139404,219.96037118276706
42,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.872742652893066,355.22189583334034
43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.198091506958008,180.92661498099514
44,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.075737953186035,160.090287537272
45,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.686903476715088,294.9787962727712
46,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,7.057277202606201,1161.2789299756123
47,"He did not set a figure for the cuts, saying they will be made based on China's economic output.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.518774032592773,249.32918029399863
48,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,7.935769557952881,2795.509218137817
49,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.380387306213379,590.1562345771803
50,The Iraq Study Group presented its report at 12.00 GMT today.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.684738636016846,800.1015331216988
51,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.599201202392578,734.5082314250394
52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.803174018859863,331.3496024881351
53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.075124263763428,434.9035419095352
54,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.670821666717529,290.2729440488054
55,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.982548713684082,145.84562709902164
56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.537658214569092,93.47165306658134
57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.346398830413818,570.434773393258
58,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.403649806976318,604.0456695875632
59,Over four million people went to Rome to attend the funeral.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.370119571685791,214.88856075569083
60,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.547856330871582,94.4297650203597
61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.591491222381592,98.6414168283309
62,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.794882297515869,120.89015187444038
63,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.519830226898193,249.59265947251052
64,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.397135257720947,600.1233741854667
65,"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.8187174797058105,914.810993727371
66,"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.498185157775879,663.935600633984
67,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.967177867889404,1061.2236073206986
68,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.187549591064453,65.86120617874025
69,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,6.27482271194458,531.0322277410547
70,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,4.70940637588501,110.98625622849875
71,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.829317092895508,340.12632505886825
72,"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.",BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.647462844848633,283.57108850785687
