sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"'Inmiddels hebben we muizen van 4 maanden oud die geen diabetes hebben, maar dat eerder wel hebben,' voegde hij er nog aan toe.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.225422382354736,505.43648482914136
1,"Professor Ehud Ur in de geneeskunde aan Dalhousie University in Halifax, Nova Scotia, tevens voorzitter van de klinische en wetenschappelijke divisie van de Canadian Diabetes Association, herinnerde eraan dat ze nog maar net zijn begonnen met het onderzoek.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.073882102966309,1180.7228362024032
2,"Net als sommige andere deskundigen, is hij sceptisch over de vraag of zijn diabetes kan worden genezen, waarbij hij opmerkt dat deze bevindingen geen waarde hebben voor mensen die al type 1-diabetes hebben.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.77752161026001,877.890271453921
3,"Op maandag kondigde Sara Danius, de permanente secretaris van de nobelcommissie voor literatuur bij de Zweedse Academie, tijdens een radioprogramma op Sveriges Radio in Zweden aan dat de commissie Bob Dylan niet direct kon bereiken om hem te vertellen dat hij de Nobelprijs voor literatuur van 2016 had gewonnen en geen moeite meer zou doen om hem te bereiken.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.272955417633057,1440.8023395316034
4,"Danius verklaarde, 'We doen momenteel niks. Ik heb met zijn naaste medewerker gebeld en gemailed en vriendelijke antwoorden gekregen. Op dit moment is dat genoeg.'",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.967423915863037,1061.4847513645152
5,"Eerder merkte Jamie Siminoff, de CEO van Ring, op dat het bedrijf is opgericht toen zijn deurbel van de winkel niet hoorbaar was in zijn garage.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.754042625427246,857.5183904741859
6,Hij zei dat hij daarop een wifi-deurbel maakte.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.113588333129883,1228.5480858667477
7,"Siminoff zei dat de verkoop steeg nadat hij in 2013 in een aflevering van Shark Tank verscheen, waarbij het panel van het programma de start-up niet wilde financieren.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.72034215927124,829.1011475987858
8,Eind 2017 was Siminoff te zien op teleshoppingkanaal QVC.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.542477130889893,1886.497342839319
9,Ring trof ook een schikking in een rechtszaak met de ADT Corporation. Dat is een concurrerend beveiligingsbedrijf.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.780604839324951,880.6011852913017
10,"Eén experimenteel vaccin lijkt in staat te zijn de ebola-sterfte terug te dringen, maar tot nu toe zijn nog geen medicijnen duidelijk geschikt voor de behandeling van bestaande infecties.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.173980712890625,1305.02922336685
11,"Een cocktail van antilichamen, ZMapp, was aanvankelijk veelbelovend in het veld. Officiële onderzoeken toonden echter aan dat het minder voordelen had dan gewenst bij het voorkomen dat mensen overlijden.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.220065593719482,1366.5786967481192
12,"ZMapp was een controle in de PALM-proef, dus gebruikten wetenschappers het als baseline en vergeleken de drie andere behandelmethoden hiermee.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.220035552978516,1366.5376443281052
13,Het Amerikaanse Olympisch Comité heeft de steun van USA Gymnastics en begrijpt dat het noodzakelijk is dat de olympische familie een veilige plek promoot voor alle sporters.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.126112937927246,1244.0319272070813
14,"Wij sluiten ons aan bij de verklaring van het USOC dat het het beste is voor onze atleten en clubs, en hun sport, om zinvolle veranderingen door te voeren in onze organisatie in plaats van certificeringen af te nemen.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.4833574295043945,654.1635714948336
15,"USA Gymnastics steunt een onafhankelijk onderzoek dat meer duidelijkheid kan geven over hoe misbruik op deze schaal, dat zo moedig door de slachtoffers van Larry Nassar is beschreven, zo lang onopgemerkt kon blijven, en omarmt alle nodige en toepasselijke veranderingen.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,7.085190773010254,1194.1510255454846
16,"USA Gymnastics en de USOC hebben hetzelfde doel: zorgen dat atleten hun dromen in een veilige, positieve en krachtige omgeving kunnen najagen door de sport turnen en andere sporten zo veilig mogelijk maken.",BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.989047527313232,1084.6878484636459
17,Gedurende de jaren 60 werkte Brzezinksi als adviseur voor John F. Kennedy en daarna voor de regering van Lyndon B. Johnson.,BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.510443210601807,672.1242441770191
