sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.655155658721924,2111.5037676540064
1,埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.226778984069824,1375.7839375983738
2,和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.871462345123291,2621.396172595863
3,周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,6.136918544769287,462.62581147409185
4,达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.339595794677734,1540.0894754750964
5,此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,6.903133869171143,995.389252472076
6,他称，他制作了一个 WiFi 门铃。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,6.737727642059326,843.6415006191615
7,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,6.518857955932617,677.8038612747001
8,2017 年年末，西米诺夫出现在 QVC 电视销售频道。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.51635217666626,1837.850896001859
9,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.590620517730713,1979.5414733042282
10,虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,zho,7.4206976890563965,1670.1983804700892
