sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,4.924833297729492,137.66639043004483
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.890187740325928,361.47314108768774
2,"À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.62617301940918,277.5977211289187
3,"Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.981921195983887,396.2008168540827
4,"Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.118882179260254,167.1484231802191
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.307748794555664,201.89520881577397
6,Il dit avoir conçu une sonnette de porte Wi-Fi.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.294929027557373,541.8173909247804
7,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.189581871032715,487.6421662654262
8,"Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.138263702392578,463.2485348477752
9,"Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.840593338012695,343.98337854149054
10,"Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.183870315551758,484.86490975520536
11,"Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.660184860229492,287.20172982672693
12,"Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.400157928466797,221.44138534127563
13,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.641951560974121,282.0125464692485
14,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.064553260803223,158.30970312431157
15,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.709470272064209,820.1360753701501
16,"USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.459238052368164,638.5743109717778
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.025782108306885,152.2893162869427
18,"Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,4.86027717590332,129.05996946384317
19,"Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,4.404339790344238,81.80511648297491
20,"Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.554134368896484,258.30327237039677
21,Golsling et Stone ont respectivement été nominés pour le Meilleur Acteur et la Meilleure Actrice.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,7.432311534881592,1689.7088836464277
22,"Parmi les autres nominations figurent celles du meilleur film, du meilleur réalisateur, de la meilleure cinématographie, des meilleurs costumes, du meilleur montage, de la meilleure musique originale, des meilleurs décors, du meilleur montage sonore, du meilleur mixage et du meilleur scénario original.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.328799724578857,206.19034037403878
23,"Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont été nominées pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que tout autre studio.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.040339946746826,420.0358004228644
24,"Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.105323791503906,164.89745428328493
25,L’annonce a été faite après que M. Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.378002166748047,588.7503069845857
26,"La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.977389812469482,394.4095405492425
27,"Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà très répandue, mais fournit des détails que les fossiles ne peuvent généralement pas fournir, comme la couleur et la disposition tridimensionnelle.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.632113933563232,279.251813906079
28,Les scientifiques disent que le plumage de cet animal était brun châtain sur le dessus et de couleur pâle ou caroténoïde sur le dessous.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,6.304316997528076,546.9279074742121
29,Cette découverte permet également de mieux comprendre l'évolution des plumes chez les oiseaux.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.200965404510498,181.44732741567242
30,"Étant donné que les plumes de dinosaure n'ont pas une tige entièrement développée, que l'on appelle rachis, mais montrent cependant d'autres caractéristiques propres aux plumes – barbes et barbules – les chercheurs en ont déduit que le rachis était probablement un développement évolutif ultérieur à ces autres caractéristiques.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.949434280395508,383.53630367029166
31,"La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.757979393005371,316.70774007180927
32,"Les scientifiques précisent qu'il s'agit certes de la queue d'un dinosaure juvénile, mais l'échantillon révèle un plumage appartenant à un individu adulte, et non à un jeune.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,4.962319850921631,142.92497624180731
33,"Une voiture piégée a explosé au siège de la police à Gaziantep, en Turquie, hier matin, tuant deux officiers de police et blessant plus de vingt autres personnes.",BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.402520179748535,221.9651038714734
34,Le bureau du gouverneur a déclaré que dix-neuf des blessés étaient des officiers de police.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.654781818389893,285.6541514442945
35,La police a déclaré soupçonner un militant présumé de Daesh (ÉI) comme le suspect à l'origine de cette attaque.,BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.621553421020508,276.3182886511291
