model,blimp_phenomenon,accuracy,n_correct,n_total,checkpoint
RA-ALTA/pl-en-beginner,adjunct_island,0.817,817,1000,main
RA-ALTA/pl-en-beginner,anaphor_gender_agreement,0.582,582,1000,main
RA-ALTA/pl-en-beginner,anaphor_number_agreement,0.794,794,1000,main
RA-ALTA/tr-en-phase1-final,adjunct_island,0.581,581,1000,main
RA-ALTA/pl-en-fluent,adjunct_island,0.849,849,1000,main
RA-ALTA/tr-en-advanced,adjunct_island,0.768,768,1000,main
RA-ALTA/pl-en-advanced,adjunct_island,0.798,798,1000,main
RA-ALTA/tr-en-intermediate,adjunct_island,0.758,758,1000,main
RA-ALTA/pl-en-intermediate,adjunct_island,0.846,846,1000,main
RA-ALTA/pl-en-beginner,animate_subject_passive,0.691,691,1000,main
RA-ALTA/tr-en-phase1-final,anaphor_gender_agreement,0.321,321,1000,main
RA-ALTA/pl-en-fluent,anaphor_gender_agreement,0.773,773,1000,main
RA-ALTA/tr-en-advanced,anaphor_gender_agreement,0.663,663,1000,main
RA-ALTA/pl-en-advanced,anaphor_gender_agreement,0.747,747,1000,main
RA-ALTA/tr-en-intermediate,anaphor_gender_agreement,0.529,529,1000,main
RA-ALTA/pl-en-intermediate,anaphor_gender_agreement,0.714,714,1000,main
RA-ALTA/tr-en-phase1-final,anaphor_number_agreement,0.515,515,1000,main
RA-ALTA/pl-en-beginner,animate_subject_trans,0.878,878,1000,main
RA-ALTA/pl-en-fluent,anaphor_number_agreement,0.914,914,1000,main
RA-ALTA/tr-en-beginner,adjunct_island,0.728,728,1000,main
RA-ALTA/tr-en-advanced,anaphor_number_agreement,0.892,892,1000,main
RA-ALTA/tr-en-intermediate,anaphor_number_agreement,0.875,875,1000,main
RA-ALTA/pl-en-advanced,anaphor_number_agreement,0.868,868,1000,main
RA-ALTA/pl-en-intermediate,anaphor_number_agreement,0.844,844,1000,main
RA-ALTA/pl-en-beginner,causative,0.625,625,1000,main
RA-ALTA/tr-en-phase1-final,animate_subject_passive,0.59,590,1000,main
RA-ALTA/pl-en-fluent,animate_subject_passive,0.738,738,1000,main
RA-ALTA/tr-en-beginner,anaphor_gender_agreement,0.456,456,1000,main
RA-ALTA/tr-en-advanced,animate_subject_passive,0.756,756,1000,main
RA-ALTA/tr-en-intermediate,animate_subject_passive,0.735,735,1000,main
RA-ALTA/pl-en-advanced,animate_subject_passive,0.712,712,1000,main
RA-ALTA/pl-en-intermediate,animate_subject_passive,0.698,698,1000,main
RA-ALTA/tr-en-phase1-final,animate_subject_trans,0.807,807,1000,main
RA-ALTA/pl-en-beginner,complex_NP_island,0.47,470,1000,main
RA-ALTA/pl-en-fluent,animate_subject_trans,0.88,880,1000,main
RA-ALTA/tr-en-beginner,anaphor_number_agreement,0.836,836,1000,main
RA-ALTA/tr-en-advanced,animate_subject_trans,0.801,801,1000,main
RA-ALTA/tr-en-intermediate,animate_subject_trans,0.798,798,1000,main
RA-ALTA/pl-en-advanced,animate_subject_trans,0.884,884,1000,main
RA-ALTA/pl-en-intermediate,animate_subject_trans,0.881,881,1000,main
RA-ALTA/tr-en-phase1-final,causative,0.481,481,1000,main
RA-ALTA/pl-en-beginner,coordinate_structure_constraint_complex_left_branch,0.236,236,1000,main
RA-ALTA/pl-en-fluent,causative,0.63,630,1000,main
RA-ALTA/tr-en-beginner,animate_subject_passive,0.666,666,1000,main
RA-ALTA/tr-en-advanced,causative,0.619,619,1000,main
RA-ALTA/tr-en-intermediate,causative,0.635,635,1000,main
RA-ALTA/pl-en-advanced,causative,0.633,633,1000,main
RA-ALTA/tr-en-phase1-final,complex_NP_island,0.489,489,1000,main
RA-ALTA/pl-en-intermediate,causative,0.633,633,1000,main
RA-ALTA/pl-en-beginner,coordinate_structure_constraint_object_extraction,0.788,788,1000,main
RA-ALTA/pl-en-fluent,complex_NP_island,0.512,512,1000,main
RA-ALTA/tr-en-beginner,animate_subject_trans,0.807,807,1000,main
RA-ALTA/tr-en-advanced,complex_NP_island,0.59,590,1000,main
RA-ALTA/tr-en-intermediate,complex_NP_island,0.562,562,1000,main
RA-ALTA/pl-en-advanced,complex_NP_island,0.472,472,1000,main
RA-ALTA/tr-en-phase1-final,coordinate_structure_constraint_complex_left_branch,0.184,184,1000,main
RA-ALTA/pl-en-intermediate,complex_NP_island,0.503,503,1000,main
RA-ALTA/pl-en-fluent,coordinate_structure_constraint_complex_left_branch,0.33,330,1000,main
RA-ALTA/pl-en-beginner,determiner_noun_agreement_1,0.935,935,1000,main
RA-ALTA/tr-en-beginner,causative,0.565,565,1000,main
RA-ALTA/tr-en-advanced,coordinate_structure_constraint_complex_left_branch,0.372,372,1000,main
RA-ALTA/tr-en-intermediate,coordinate_structure_constraint_complex_left_branch,0.354,354,1000,main
RA-ALTA/pl-en-advanced,coordinate_structure_constraint_complex_left_branch,0.44,440,1000,main
