sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.60725736618042,740.4494496214297
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.915884971618652,1008.1628283211415
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.616105079650879,747.0298017994522
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.8963165283203125,988.6264231076622
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.200430870056152,1340.008009352938
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.20258903503418,494.02643852351116
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.412867069244385,609.6390551969594
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.296510696411133,1475.1437127655724
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.1437554359436035,1266.174508907472
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.854190349578857,2576.5081979479974
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.976180076599121,1070.8200937001188
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.3997673988342285,601.705064294299
12,"ZMapp служи като контрола в проучването PALM, което означава, че учените го използват като базова линия и сравняват другите три лечения с него.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.689692974090576,804.0753422788499
13,Американската гимнастическа асоциация подкрепя писмото на Олимпийския комитет на САЩ и приема необходимостта олимпийското семейство да осигури безопасна среда за всички наши спортисти.,BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.711745738983154,2234.4396036435005
14,"Съгласни сме с изявлението на ОК на САЩ, че интересите на нашите спортисти и клубове, и на техния спорт, могат да бъдат по - добре обслужени чрез преминаване към значима промяна в нашата организация, а не чрез десертификация.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.556035995483398,703.4775720240355
15,"Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,6.9363298416137695,1028.9867319328728
16,"Американската гимнастика и Олимпийският комитет на САЩ имат еднаква цел — да направят спортната гимнастика, както и други, възможно най - безопасни за спортистите, за да следват мечтите си в безопасна, позитивна и пълноценна среда.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.199509620666504,1338.7740962503126
17,"През 60-те години Бжежински работи като съветник на Джон Ф. Кенеди, а след това и в администрацията на Линдън Б. Джонсън.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,7.487298488616943,1785.2227719097737
18,"По време на изборите през 1976 г. съветва Картър по външната политика, след което от 1977 до 1981 г. е съветник по националната сигурност (НАС), наследявайки Хенри Кисинджър.",BeetleLM/beetlelm_bul-deu_simultaneous,step-8000,bul,8.202470779418945,3649.9574151232123
