sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,6.829416275024414,924.6509130863419
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.216036319732666,1361.0834551060987
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,6.6923933029174805,806.2495443136742
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.053004741668701,1156.327994979101
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.047228813171387,1149.668378409694
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,6.486542224884033,656.2502697044989
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,5.583288669586182,265.94477370776224
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.093759059906006,1204.4268142151109
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.367171764373779,1583.1499243111912
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,8.2135648727417,3690.6758326419517
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.677180290222168,2158.5247694188106
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,6.423465728759766,616.1347741207754
12,"ZMapp служи като контрола в проучването PALM, което означава, че учените го използват като базова линия и сравняват другите три лечения с него.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.370367527008057,1588.2173885774494
13,Американската гимнастическа асоциация подкрепя писмото на Олимпийския комитет на САЩ и приема необходимостта олимпийското семейство да осигури безопасна среда за всички наши спортисти.,BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.835265636444092,2528.2070040910785
14,"Съгласни сме с изявлението на ОК на САЩ, че интересите на нашите спортисти и клубове, и на техния спорт, могат да бъдат по - добре обслужени чрез преминаване към значима промяна в нашата организация, а не чрез десертификация.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,6.750778675079346,854.7240557908544
15,"Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.145878314971924,1268.8652993193632
16,"Американската гимнастика и Олимпийският комитет на САЩ имат еднаква цел — да направят спортната гимнастика, както и други, възможно най - безопасни за спортистите, за да следват мечтите си в безопасна, позитивна и пълноценна среда.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.341189384460449,1542.5457029173533
17,"През 60-те години Бжежински работи като съветник на Джон Ф. Кенеди, а след това и в администрацията на Линдън Б. Джонсън.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.575913906097412,1950.6421520621977
18,"По време на изборите през 1976 г. съветва Картър по външната политика, след което от 1977 до 1981 г. е съветник по националната сигурност (НАС), наследявайки Хенри Кисинджър.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.76246976852417,2350.703134427109
19,"Като съветник по националната сигурност той е помагал на Картър да се справя дипломатично със световните дела, като например споразумението в Кемп Дейвид през 1978 г.; нормализирането на американско-китайските отношения в края на 1970-те години; иранската революция, довела до кризата с иранските заложници през 1979 г. и съветската инвазия в Афганистан през 1979 г.",BeetleLM/beetlelm_bul-fra_balanced,step-8000,bul,7.2447943687438965,1400.793819365009
