sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,وی افزود: «اکنون موش‌های 4 ماهه‌ای داریم که دیابت ندارند در حالی که قبلاً دیابت داشتند.»,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,7.1956329345703125,1333.5941363520308
1,دکتر ایهود اور، استاد پزشکی دانشگاه دالهاوزی در هلیفکس، نوااسکوشیا و رئیس بخش کلینیکی و علمی انجمن دیابت کانادا هشدار داد که این تحقیق هنوز در روزهای آغازین خود می‌باشد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.329121112823486,560.6636171858057
2,مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.577350616455078,264.37025891430477
3,روز دوشنبه، سارا دانیوس، دبیر دائمی‌ کمیته ادبیات نوبل در آکادمی‌ سوئد، طی یک برنامه رادیویی که از رادیو Sveriges در سوئد پخش می‌شد به طور علنی اعلام کرد این کمیته، نتوانست در مورد برنده شدن جایزه نوبل ادبیات سال 2016 بطور مستقیم به باب دیلان دسترسی پیدا کند و دست از تلاش‌ برای تماس با او برداشته است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.0843963623046875,438.9547630426493
4,دانیوس گفت، «در حال حاضر هیچ کاری نمی‌کنیم. من به نزدیکترین همکار وی ایمیل فرستاده‌ام و با وی تماس گرفته‌ام و پاسخ‌های بسیار صمیمانه‌ای دریافت کردم. فعلاً مطمئناً تا این حد کافی است.»,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.310201168060303,550.1556114179887
5,پیش از این، مدیرعامل رینگ، جیمی‌ سیمینوف، خاطر نشان کرد كه شركت هنگامی‌ شروع به کار می‌کند كه صدای زنگ در وی از گاراژ وی شنیده نشود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.87437105178833,967.1668763733531
6,وی گفت که یک زنگ درب WiFi ساخته است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.281496047973633,534.5878349245212
7,سیمینوف گفت پس از ظاهر شدن وی در سال 2013 در یک قسمت از نمایش Shark Tank، فروش افزایش یافت، جایی که نشست نمایش از پرداخت بودجه برای راه‌اندازی خودداری کرده بود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.728593826293945,307.53651442486824
8,در اواخر سال 2017، سیمینوف در کانال تلویزیونی فروشگاهی QVC ظاهر شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.7209391593933105,305.191411787651
9,رینگ همچنین یک دعوای قانونی را با شرکت امنیتی رقیب، شرکت ADT، حل و فصل کرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.330813407897949,206.60596074647108
10,با اینکه بنظر می‌رسد یک واکسن تجربی بتواند میزان مرگ و میر ایبولا را کاهش دهد، تا به امروز هیچ دارویی نبوده که به وضوح ثابت شود برای درمان عفونت کنونی است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.553636074066162,258.1745932478526
11,شربت حاوی پادتن ZMapp، در ابتدا انتظاراتی را در این زمینه ایجاد کرد، اما مطالعات رسمی‌ نشان می‌دهد که مفید بودن این شربت در پیشگیری از مرگ کمتر از حد انتظار است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.798152923583984,329.690034475639
12,در آزمایش PALM، ZMapp به عنوان شاهد عمل می‌کرد، به این معنی که دانشمندان از آن به عنوان یک مرجع استفاده می‌کردند و سه روش درمانی دیگر را با آن مقایسه می‌کردند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.704261779785156,300.14382600420385
13,هیأت ژیمناستیک ایالات متحده آمریکا از نامه کمیته المپیک ایالات متحده حمایت می‌کند و نیاز قاطع خانواده المپیک به ترویج محیطی امن برای تمام ورزشکارهای ما را می‌پذیرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.826842784881592,922.2743923639011
14,ما با بیانیه USOC موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار، بهتر می‌توان در خدمت منافع ورزشکاران و باشگاه‌های ما و ورزش آنها بود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.756073951721191,859.2620605101204
15,هیأت ژیمناستیک ایالت متحده آمریکا از یک تحقیق مستقل حمایت می‌کند که احتمالاً بتواند روشن سازد که موضوع سوء استفاده از بخشی که بازماندگان لری نصار با جسارت بیان کرده بودند چطور مدت‌ها کشف‌نشده باقی ماند و ضمناً تغییرات لازم و مناسب را دربر گیرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.6890363693237305,803.547555868705
16,هیأت ژیمناستیک ایالات متحده آمریکا و USOC نیز همان هدف را دارد - امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن تا رؤیاهای خود را در محیطی امن، مثبت و توانمند دنبال کنند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.291191101074219,539.7958978002591
17,در طی دهه 1960، برژینسکی برای جان اف کندی به عنوان مشاور و سپس دولت لیندون بی جانسون کار می‌کرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.331130504608154,561.7913426938795
18,در طی تصمیم‌گیری برای جانشین در سال 1976، او مشاور کارتر در سیاست خارجه شد، سپس با جانشین شدن بجای هنری کیسینجر به عنوان مشاور امنیت ملی (NSA) از سال 1977 تا 1981 خدمت کرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.511682510375977,247.56731142241765
19,او به عنوان مشاور امنیت ملی در امور سیاسی جهان به کاربر مشاوره داد؛ اموری مثل پیمان کمپ دیوید، 1978؛ عادی کردن روابط ایالت متحده و چین در اواخر دهه هفتاد؛ انقلاب ایران که منجر به بحران گروگانگیری در ایران شد، 1979؛ و حمله شوری به افغانستان، 1979.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.842999458312988,344.812040461908
20,این فیلم با بازی رایان گاسلینگ و اما استون در تمام دسته‌بندی‌های اصلی کاندید شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.914463520050049,1006.7307917138796
21,گوسلینگ و استون به ترتیب نامزد بهترین بازیگر مرد و بازیگر زن شدند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.508187294006348,670.6096969288201
22,نامزدهای دیگر شامل بهترین تصویر، کارگردان، فیلمبرداری، طراحی صحنه و لباس، ویرایش فیلم، امتیاز اصلی، طراحی تولید، ویرایش صدا، ترکیب صدا و فیلمنامه اصلی است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.008046627044678,406.6881302804955
23,دو ترانه از این فیلم با نام‌های «شنوایی» (احمق‌هایی که رویا می‌بینند) و «شهر ستارگان»، نامزد دریافت بهترین آهنگ اصلی شدند. نامزدههای استودیوی Lionsgate 26 بیشتر از هر استودیوی دیگری بود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.706501483917236,817.7048757546429
24,اواخر روز یکشنبه،‌ رئیس جمهور ایالات متحده، دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,4.563934803009033,95.96032290954558
25,این اعلامیه پس از مکالمه تلفنی ترامپ با رئیس‌جمهور ترکیه،‌ رجب طیب اردوغان، منتشر شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.381162166595459,217.27463807923615
26,ترکیه همچنین محافظت از جنگجویان اسیر داعش را بر عهده خواهد گرفت، که به گفته این بیانیه، کشور‌های اروپایی از بازگشت آنها به وطن خود جلوگیری کرده‌اند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.44583797454834,231.79143367466625
27,این امر نه تنها تأیید می‌کند که حداقل برخی از دایناسورها دارای پر بودند، نظریه‌ای که قبلاً در محافل علمی شایع شده است، بلکه اطلاعاتی را در اختیار قرار می‌دهد که فسیل‌ها به طور کلی نمی‌توانند این اطلاعات را بدهند، مواردی از قبیل رنگ و چیدمان سه‌بعدی.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.255552291870117,520.8969824970122
28,دانشمندان می گویند که پرهای زینتی این حیوان در بالای به رنگ شاه بلوط قهوه ای و در پایین به رنگ کاروتنوئید بود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.465749740600586,642.7460756726659
29,این یافته همچنین شناخت ما را در مورد تکامل پرها در پرندگان بیشتر می‌کند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.908242225646973,1000.487065242609
30,از آنجا که پرهای این دایناسور میله‌ای که بخوبی توسعه یافته باشد ندارند که به آن ساقه گفته می‌شود، اما سایر ویژگی‌های پرها را دارند- ریش و موهای ریز - لذا محققان چنین استدلال می‌کنند که پیشرفت تکاملی ساقه احتمالاً دیرتر از سایر ویژگی‌ها بوده است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,7.420596599578857,1670.029549522081
31,ساختار پرها نشان می‌دهد که در پرواز مورد استفاده قرار نمی‌گرفتند بلکه برای تنظیم دما یا نمایش استفاده می‌شدند. محققان معتقدند كه حتی اگر این دم یک دایناسور جوان باشد، باز هم این نمونه نشان دهنده پر حیوان بالغ است نه کرک یک جوجه.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.631462097167969,758.5904932185009
32,محققان اظهار داشتند كه حتی اگر این دم یک دایناسور جوان باشد، باز هم این نمونه نشان دهنده پر حیوان بالغ است نه کرک یک جوجه.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.546116828918457,696.5341542014532
33,صبح دیروز یک خودروی بمب‌گذاری شده در مرکز پلیس شهر قاضی عنتب ترکیه منفجر شد و منجر به کشته شدن دو افسر پلیس و زخمی شدن بیش از بیست نفر دیگر شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.400589466094971,221.53696625338208
34,دفتر فرماندار گفت که نوزده نفر از افراد مجروح از افسران پلیس بودند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.294482231140137,541.575362928366
35,پلیس گفت این گمان وجود دارد که ستیزه‌جویان داعش (ISIL) مسئول این حمله باشند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.840760231018066,344.0407917521314
36,آنها دریافتند که خورشید بر اساس همان اصول اساسی کار می‌کند که سایر ستارگان عمل می‌کنند: مشخص شد که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,7.325421333312988,1518.4135221066122
37,از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,7.533451557159424,1869.5472292932147
38,هر چه عدد روسبی کوچکتر باشد، ستاره از نظر وارونگی مغناطیسی فعالیت کمتری دارد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.106736183166504,448.87128809751545
39,ایوازاکی در طی سفر خود، در بسیاری از موقعیت‌ها دچار دردسر شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.221230983734131,503.3224325566545
40,او مورد حمله دزدان دریایی قرار گرفت، یک سگ هار در تبت به او حمله کرد، از ازدواج در نپال فرار کرد و در هندوستان دستگیر شد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.2937235832214355,199.083350391516
41,سری 802.11n استاندارد در هر دو فرکانس 2.4 گیگاهرتز و 5.0 گیگاهرتز کار می‌کند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.182859897613525,484.375240979487
42,این امر سبب می‌شود که با سری‌های قبلی 802.11a، 802.11b و 802.11g سازگاری داشته باشد، به شرط اینکه ایستگاه پایه مجهز به رادیوهای دوگانه باشد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.701889991760254,813.942717382413
43,سرعت 802.11n بسیار سریعتر از سیستم‌های قبلی است که حداکثر خروجی تئوری آنها 600Mbit/s بود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.990403652191162,1086.159818501741
44,دووال، که با داشتن دو فرزند بزرگسال، ازدواج کرده است، تأثیر زیادی بر میلر که داستان به وی مربوط می‌شود نگذاشت.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.114156723022461,452.21454442325523
45,هنگامی‌ که از میلر خواسته شد اظهارنظر کند گفت: «مایک در زمان دادرسی زیاد صحبت می‌کرد ... من داشتم آماده می‌شدم بنابراین واقعاً نمی‌شنیدم که چه می‌گوید.»,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,7.395246505737305,1628.2262412553905
46,هو گفت، «ما تلاش خواهیم کرد تا سال 2020 میزان انتشار دی اکسید کربن در هر واحد از تولید ناخالص داخلی را در حاشیه‌ای قابل توجه از سطح 2005 کاهش دهیم.»,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.200747966766357,181.4078782071477
47,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.880651473999023,358.0424210733356
48,او کشورهای در حال توسعه را ترغیب کرد «از مسیر قدیمی یعنی ابتدا آلوده کردن محیط زیست و سپس سعی در پاکسازی آن دوری کنند.»,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.861417770385742,351.22174298205505
49,او افزود: «با وجود این نباید از آنها خواست تعهداتی را بپریرند که از مرحله توسعه، مسئولیت‌پذیری و توانمندی فراتر بروند.»,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.006667137145996,406.12749489719096
50,امروز گروه تحقیقاتی عراق گزارش خود را رأس ساعت 12:00 به وقت گرینویچ ارائه داد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.559414386749268,259.67072517065753
51,این هشدار می دهد که هیچ کس نمی تواند تضمین کند که هرگونه اقدام در عراق در این مرحله، جنگ فرقه ای، خشونت رو به رشد و یا خیزش به سمت هرج و مرج را متوقف خواهد کرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,4.713303565979004,111.41963469746423
52,این گزارش با لایحه‌ای برای مذاکره آزادانه و تشکیل مجمعی در ایالات متحده درباره سیاست مربوط به خاورمیانه آغاز می‌شود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.949001789093018,1042.1089642813756
53,این گزارش بسیار حیاتی، تقریباً در مورد تمام جنبه‌های سیاست کنونی اجرایی در قبال عراق است و خواستار تغییر جهت فوری است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.383883953094482,592.2234145271364
54,اولین مورد از 78 توصیه او بدین ترتیب است که ابتکار عمل دیپلماتیک جدید باید پیش از پایان سال جاری اتفاق بیفتد تا مرزهای عراق در برابر مداخلات خصمانه امن شود و روابط دیپلماتیک با همسایگانش از سر گرفته شود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.738372802734375,310.5586594127883
55,سناتور فعلی و بانوی اول آرژانتین، کریستینا الیزابت فرناندز د کیرشنر، عصر روز گذشته کاندیداتوری خود برای ریاست جمهوری را در لا پلاتا، شهری در 50 کیلومتری (31 مایل) بوینوس آیرس اعلام کرد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.379733562469482,216.9644602482244
56,خانم کیرشنر قصد خود برای حضور در انتخابات ریاست جمهوری را در تئاتر آرژانتین اعلام کرد، همان جاییکه او از آنجا به عنوان نماینده استان بوئنوس آیرس کارزار 2005 خود را برای مجلس سنا آغاز کرده بود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,4.537033557891846,93.41328360669446
57,این مذاکره با مشاجره پیرامون صرف هزینه برای امدادرسانی و بازسازی به دنبال طوفان کاترینا آغاز شد؛ که در آن برخی از محافظه‌کاران مالی به شوخی آن را «معامله اورلئان جدید بوش» نام نهادند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.678985595703125,795.5117320610746
58,انتقاد لیبرال از تلاش برای بازسازی بر اعطای قراردادهای بازسازی به خودی‌های واشنگتن متمرکز شده است.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.026108741760254,414.1005181258602
59,بیش از چهار میلیون نفر برای حضور در مراسم خاکسپاری به رم رفتند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,4.483652591705322,88.55754721465274
60,تعداد افراد حاضر آنقدر زیاد بود که امکان دسترسی همه به مراسم خاکسپاری در میدان سنت پیتر ممکن نبود.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.986926078796387,1082.3891781537475
61,چند نمایشگر تلویزیونی بزرگ در مکان‌های مختلف شهر رم نصب شدند تا مردم بتوانند مراسم را مشاهده کنند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.562980651855469,708.3799851114584
62,در بسیاری از شهرهای ایتالیا و سایر نقاط جهان، به‌خصوص در لهستان، مجموعه‌های مشابهی ساخته شده که تعداد زیادی از مردم از آن بازدید کرده‌اند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.297714710235596,199.87950504967995
63,مورخان از سیاست‌های گذشته FBI و تمرکز منابع روی مواردی که به آسانی قابل حل هستند، به‌خصوص موارد مربوط به سرقت خودرو، با هدف بالا بردن میزان موفقیت آژانس، انتقاد کردند.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.1177825927734375,453.8571916736724
64,کنگره بودجه ابتکار قباحت را در سال مالی 2005 در نظر گرفت و مشخص کرد که FBI باید 10 مامور خود را به پورنوگرافی بزرگسالان اختصاص دهد.,BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,5.649295330047607,284.091204737505
