sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.746727466583252,851.2683949617485
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.810802936553955,907.5992590794708
2,"Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.065089225769043,430.5610931030026
3,"Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,5.8264360427856445,339.1478143187675
4,Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.917843341827393,1010.1391188923495
5,"Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.435259819030762,623.444544579611
6,"Er sagte, dass er eine WLAN-Türklingel gebaut habe.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,5.519610404968262,249.5377995623351
7,"Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.772609233856201,873.5883190550477
8,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.38409423828125,1610.1687051257463
9,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.64889669418335,771.9321782697299
10,"Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.630214214324951,757.6444515544836
11,"Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.373165130615234,1592.666812232567
12,"In der PALM-Studie diente ZMapp als Kontrolle, d.h. die Wissenschaftler verwendeten es als Ausgangsbasis und verglichen die drei anderen Behandlungen damit.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.257378101348877,1418.5324089815329
13,"USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert es als absolute Notwendigkeit, dass sich die olympische Familie für ein sicheres Umfeld für alle unsere Sportler einsetzt.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,5.131102085113525,169.20349197571878
14,"Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.366612434387207,1582.264668683373
15,"USA Gymnastics unterstützt eine unabhängige Untersuchung, die ans Licht bringen könnte, wie Missbrauch in dem Ausmaß, das von den Überlebenden von Lary Nassar so mutig beschrieben wurde, so lange unentdeckt bleiben konnte, und heißt alle notwendigen und angemessenen Veränderungen willkommen.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.532471656799316,687.094375946184
16,"USA Gymnastics und das USOC haben das gleiche Ziel - den Turnsport und andere Sportarten für die Athleten so sicher wie möglich zu machen, damit sie ihren Träumen in einer sicheren, positiven und selbstbestimmten Umgebung folgen können.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.69279146194458,806.5706237639366
17,Während der 1960er-Jahre arbeitete Brzezinski als Berater für John F. Kennedy sowie anschließend für die Regierung rund um Lyndon B. Johnson.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.216325759887695,500.8595687454708
18,Während der Wahlen im Jahre 1976 beriet er Carter in der Außenpolitik und diente dann von 1977 bis 1981 in Nachfolge von Henry Kissinger als als nationaler Sicherheitsberater (NSA).,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.268941879272461,527.9184807525819
19,"Als nationaler Sicherheitsberater unterstützte er Carter bei der diplomatischen Handhabung von Weltangelegenheiten wie dem Camp-David-Abkommen von 1978, der Normalisierung der Beziehungen zwischen den USA und China Ende der 1970er Jahre, der iranischen Revolution, die zur Geiselkrise im Iran 1979 führte, und der sowjetischen Invasion in Afghanistan 1979.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,5.925079345703125,374.30813392410124
20,Der Film mit Ryan Gosling und Emma Stone hat Nominierungen in allen Hauptkategorien erhalten.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.132846832275391,1252.437375709396
21,Gosling und Stone wurden als bester Schauspieler beziehungsweise beste Schauspielerin nominiert.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.980853080749512,2924.424770738986
22,"Weitere Nominierungen gibt es zum Beispiel für den besten Film, die Regie, die Kameraführung, das Kostümbild, den Schnitt, die Original-Filmmusik, das Produktionsdesign, den Tonschnitt, die Tonmischung und das Original-Drehbuch.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,4.864383220672607,129.59098491693737
23,"Zwei Lieder aus dem Kinofilm, Audition (The Fools Who Dream) und City of Stars, bekamen Nominierungen für das beste eigenständige Lied. Lionsgate Studio bekam 26 Nominierungen – mehr als jedes andere Filmstudio.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.530003070831299,685.4003162373207
24,"Am späten Sonntag kündigte der Präsident der Vereinigten Staaten, Donald Trump, in einer durch den Pressesekretär verlesenen Erklärung an, dass die US-Truppen Syrien verlassen würden.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,5.676907539367676,292.04489468392387
25,Die Ankündigung erfolgte nach einem Telefongespräch von Trump mit dem türkischen Präsidenten Recep Tayyip Erdoğan.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.341338634490967,567.5555525331839
26,"Die Türkei würde die Überwachung gefasster ISIS-Kämpfer durchführen, deren Rückführung, so hieß es in dem Statement, von europäischen Ländern abgelehnt wurde.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.104283332824707,447.7716232131186
27,"Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa Farbe und dreidimensionale Anordnung.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,5.605157852172852,271.82483018799593
28,"Wissenschaftler sagen, dass das Gefieder dieses Tieres auf der Oberseite kastanienbraun und auf der Unterseite hell- oder carotinoidfarben war.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.721827507019043,830.3335661795679
29,Der Fund gewährt auch Einblicke in die Evolution von Federn bei Vögeln.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.558384418487549,705.1315763277933
30,"Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.857348442077637,950.8425079774776
31,"Die Struktur der Federn lässt vermuten, dass sie nicht zum Fliegen,, sondern eher zur Temperaturregulierung oder zum Herzeigen verwendet wurden. Die Forscher vermuteten, dass die Probe, obwohl es sich um den Schwanz eines jungen Dinosauriers handelt, das Gefieder eines Ausgewachsenen zeigt und nicht die Daunen eines Kükens.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.709066867828369,819.8052957268211
32,"Die Forscher behaupteten, dass, obwohl dies der Schwanz eines jungen Dinosauriers ist, die Probe das Gefieder eines Erwachsenen und keine Kükendaunen zeigt.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.103686332702637,1216.4430332216496
33,"Eine Autobombe detonierte am Morgen des gestrigen Tages im Polizeipräsidium des türkischen Gaziantep, tötete zwei Polizisten und verwundete über zwanzig weitere Menschen.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.003706932067871,1100.7058469763342
34,Nach Angaben des Gouverneursbüros handelt es sich bei neunzehn der Verletzten um Polizeibeamte.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.802850246429443,2447.568217731323
35,"Die Polizei sagte, dass sie einen militanten Anhänger von Daesh (ISIL) hinter dem Angriff vermuten.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,7.352742671966553,1560.4705228324578
36,"Sie haben herausgefunden, dass die Sonne auf Basis derselben Grundprinzipien funktioniert, wie andere Sterne: Es wurde herausgefunden, dass die Aktivität aller Sterne im System durch ihre Leuchtkraft, Rotation und sonst nichts angetrieben wird.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.822331428527832,918.1230550457757
