sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.981954574584961,1077.02142974377
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.2095208168029785,1352.2441394307623
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.905401229858398,997.6487194769998
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.972263813018799,1066.634680905279
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.3644208908081055,1578.8008636344862
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.415938854217529,611.5146144683554
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.594516754150391,731.0755121067692
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.926526069641113,1018.9480694336329
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.013871192932129,1111.9507596414564
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,8.00975227355957,3010.171321483518
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.822400093078613,2495.88859000537
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.661557197570801,781.7673560064422
12,"ZMapp служи като контрола в проучването PALM, което означава, че учените го използват като базова линия и сравняват другите три лечения с него.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.318861961364746,1508.4862768843745
13,Американската гимнастическа асоциация подкрепя писмото на Олимпийския комитет на САЩ и приема необходимостта олимпийското семейство да осигури безопасна среда за всички наши спортисти.,BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,8.071913719177246,3203.226042302346
14,"Съгласни сме с изявлението на ОК на САЩ, че интересите на нашите спортисти и клубове, и на техния спорт, могат да бъдат по - добре обслужени чрез преминаване към значима промяна в нашата организация, а не чрез десертификация.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,6.713104248046875,823.1218520050616
15,"Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.308995723724365,1493.6763719561882
16,"Американската гимнастика и Олимпийският комитет на САЩ имат еднаква цел — да направят спортната гимнастика, както и други, възможно най - безопасни за спортистите, за да следват мечтите си в безопасна, позитивна и пълноценна среда.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.549722194671631,1900.2147682198336
17,"През 60-те години Бжежински работи като съветник на Джон Ф. Кенеди, а след това и в администрацията на Линдън Б. Джонсън.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,bul,7.674605369567871,2152.9738890124877
