sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.092194557189941,162.74662722042922
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.579594135284424,264.96404440349863
2,"À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.581332683563232,265.42509785255294
3,"Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.819154262542725,336.68718422160583
4,"Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.349480152130127,210.49884204430387
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.182278633117676,178.08814656107896
6,Il dit avoir conçu une sonnette de porte Wi-Fi.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.7222466468811035,830.6816650219149
7,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.9570136070251465,386.4542948252226
8,"Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.061042785644531,428.8223736044245
9,"Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.353119373321533,574.2813157126155
10,"Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.034167289733887,417.45104909235727
11,"Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.560186862945557,259.87139211996737
12,"Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.368456840515137,214.53155573144647
13,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.317671775817871,203.90858401130302
14,"Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,4.839727401733398,126.43488110258505
15,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.944758892059326,1037.6967701099131
16,"USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.263073921203613,524.82974838261
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,4.640233039855957,103.56848035496662
18,"Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,4.468835353851318,87.2550425647867
19,"Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,4.017614841461182,55.568408173990576
20,"Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.176966667175293,177.14465650386566
21,Golsling et Stone ont respectivement été nominés pour le Meilleur Acteur et la Meilleure Actrice.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,7.251077651977539,1409.6231131126015
22,"Parmi les autres nominations figurent celles du meilleur film, du meilleur réalisateur, de la meilleure cinématographie, des meilleurs costumes, du meilleur montage, de la meilleure musique originale, des meilleurs décors, du meilleur montage sonore, du meilleur mixage et du meilleur scénario original.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.321658611297607,204.72315669333744
23,"Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont été nominées pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que tout autre studio.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.70772647857666,301.1855375216853
24,"Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,4.670195579528809,106.71861236744022
25,L’annonce a été faite après que M. Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.489510536193848,658.2011187333597
26,"La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.859363555908203,350.5009987278851
27,"Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà très répandue, mais fournit des détails que les fossiles ne peuvent généralement pas fournir, comme la couleur et la disposition tridimensionnelle.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.231592178344727,187.090447865446
28,Les scientifiques disent que le plumage de cet animal était brun châtain sur le dessus et de couleur pâle ou caroténoïde sur le dessous.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,6.131327152252197,460.04630720443265
29,Cette découverte permet également de mieux comprendre l'évolution des plumes chez les oiseaux.,BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,4.908559799194336,135.44420701721666
30,"Étant donné que les plumes de dinosaure n'ont pas une tige entièrement développée, que l'on appelle rachis, mais montrent cependant d'autres caractéristiques propres aux plumes – barbes et barbules – les chercheurs en ont déduit que le rachis était probablement un développement évolutif ultérieur à ces autres caractéristiques.",BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.704765319824219,300.2949984955813
