sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"'Inmiddels hebben we muizen van 4 maanden oud die geen diabetes hebben, maar dat eerder wel hebben,' voegde hij er nog aan toe.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,4.8912353515625,133.11791994830674
1,"Professor Ehud Ur in de geneeskunde aan Dalhousie University in Halifax, Nova Scotia, tevens voorzitter van de klinische en wetenschappelijke divisie van de Canadian Diabetes Association, herinnerde eraan dat ze nog maar net zijn begonnen met het onderzoek.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.87875509262085,357.3640794938767
2,"Net als sommige andere deskundigen, is hij sceptisch over de vraag of zijn diabetes kan worden genezen, waarbij hij opmerkt dat deze bevindingen geen waarde hebben voor mensen die al type 1-diabetes hebben.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,4.691012382507324,108.96343666415915
3,"Op maandag kondigde Sara Danius, de permanente secretaris van de nobelcommissie voor literatuur bij de Zweedse Academie, tijdens een radioprogramma op Sveriges Radio in Zweden aan dat de commissie Bob Dylan niet direct kon bereiken om hem te vertellen dat hij de Nobelprijs voor literatuur van 2016 had gewonnen en geen moeite meer zou doen om hem te bereiken.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.566247463226318,261.45115106025895
4,"Danius verklaarde, 'We doen momenteel niks. Ik heb met zijn naaste medewerker gebeld en gemailed en vriendelijke antwoorden gekregen. Op dit moment is dat genoeg.'",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.695394992828369,297.4942784882174
5,"Eerder merkte Jamie Siminoff, de CEO van Ring, op dat het bedrijf is opgericht toen zijn deurbel van de winkel niet hoorbaar was in zijn garage.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.942227840423584,380.7823074934493
6,Hij zei dat hij daarop een wifi-deurbel maakte.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.199800968170166,181.23616651934378
7,"Siminoff zei dat de verkoop steeg nadat hij in 2013 in een aflevering van Shark Tank verscheen, waarbij het panel van het programma de start-up niet wilde financieren.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.903199672698975,366.20733888946336
8,Eind 2017 was Siminoff te zien op teleshoppingkanaal QVC.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,7.037755489349365,1138.8286228968175
9,Ring trof ook een schikking in een rechtszaak met de ADT Corporation. Dat is een concurrerend beveiligingsbedrijf.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.345879077911377,209.74218330096696
10,"Eén experimenteel vaccin lijkt in staat te zijn de ebola-sterfte terug te dringen, maar tot nu toe zijn nog geen medicijnen duidelijk geschikt voor de behandeling van bestaande infecties.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.702788352966309,299.7019116856112
11,"Een cocktail van antilichamen, ZMapp, was aanvankelijk veelbelovend in het veld. Officiële onderzoeken toonden echter aan dat het minder voordelen had dan gewenst bij het voorkomen dat mensen overlijden.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.72728967666626,307.1357022104401
12,"ZMapp was een controle in de PALM-proef, dus gebruikten wetenschappers het als baseline en vergeleken de drie andere behandelmethoden hiermee.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.713010311126709,823.0445341049224
13,Het Amerikaanse Olympisch Comité heeft de steun van USA Gymnastics en begrijpt dat het noodzakelijk is dat de olympische familie een veilige plek promoot voor alle sporters.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.418520450592041,225.54517029038394
14,"Wij sluiten ons aan bij de verklaring van het USOC dat het het beste is voor onze atleten en clubs, en hun sport, om zinvolle veranderingen door te voeren in onze organisatie in plaats van certificeringen af te nemen.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.605207920074463,271.8384402275595
15,"USA Gymnastics steunt een onafhankelijk onderzoek dat meer duidelijkheid kan geven over hoe misbruik op deze schaal, dat zo moedig door de slachtoffers van Larry Nassar is beschreven, zo lang onopgemerkt kon blijven, en omarmt alle nodige en toepasselijke veranderingen.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.150479316711426,468.9421047100642
16,"USA Gymnastics en de USOC hebben hetzelfde doel: zorgen dat atleten hun dromen in een veilige, positieve en krachtige omgeving kunnen najagen door de sport turnen en andere sporten zo veilig mogelijk maken.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.752431869506836,314.95566078545266
17,Gedurende de jaren 60 werkte Brzezinksi als adviseur voor John F. Kennedy en daarna voor de regering van Lyndon B. Johnson.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.596653938293457,269.52305615720655
18,Hij adviseerde tijdens de selecties van 1976 Carter op het gebied van buitenlands beleid. Vervolgens volgde hij Henry Kissinger op als National Security Advisor (NSA); deze functie vervulde hij van 1977 tot 1981.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.740804195404053,311.3146681654197
19,"Als NSA stond hij Carter bij in de diplomatieke afhandeling van wereldwijde kwesties, zoals de Camp David-akkoorden in 1978, het stabiliseren van de relatie tussen de VS en China aan het eind van de jaren '70 en de Iraanse Revolutie, de daarop volgende gijzelaarscrisis en de invasie van Afghanistan door de Sovjet-Unie in 1979.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,4.913760185241699,136.15040383809978
20,De film met Ryan Gosling en Emma Stone in de hoofdrollen werd voor alle belangrijke categorieën genomineerd.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.480941295623779,652.584932595714
21,Gosling en Stone werden respectievelijk genomineerd voor Beste acteur en Beste actrice.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,7.084286212921143,1193.071332584605
22,"Onder de overige nominaties bevonden zich onder meer de categorieën beste film, regisseur, cinematografie, kostuumontwerp, filmmontage, originele muziek, productieontwerp, muziek, geluidseffecten en origineel scenario.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.575582504272461,263.9032356352395
23,"De nummers Audition (The Fools Who Dream) en City of Stars uit de film werden genomineerd voor Beste originele nummer. Lionsgate haalde 26 nominaties binnen, een record voor een studio.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.982698440551758,1077.8228873824416
24,In een verklaring van zijn perssecretaris liet de Amerikaanse president Donald Trump zondagavond weten dat de Amerikaanse troepen zich uit Syrië zouden terugtrekken.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.679440021514893,292.7854304669383
25,De aankondiging kwam na een telefonisch overleg tussen Trump en de Turkse president Recep Tayyip Erdoğan.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.170708179473877,478.524867612107
26,"Ook gaven de Turken volgens het communiqué aan dat zij de gevangen strijders van ISIS zouden gaan bewaken, waarvan Europa ze niet terug wilde nemen.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.382899284362793,591.6405576562386
27,"Dit bewijst niet alleen de al wijdverspreide theorie dat in elk geval bepaalde dinosauriërs veren hadden, maar biedt ook meer details dan fossielen, zoals de kleur en driedimensionale plaatsing.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.011342525482178,408.03074439812775
28,. Volgens wetenschappers was het verenkleed van dit dier kastanjebruin met een bleke of carotenoïdekleurige onderzijde.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,7.1593475341796875,1286.0715413752928
29,De vondst geeft ook inzicht in de evolutie van veren bij vogels.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.432076454162598,228.62347906617376
30,"De onderzoekers trokken de conclusie dat de rachis waarschijnlijk een latere evolutionaire ontwikkeling was, doordat dinosaurusveren geen goed ontwikkelde schacht, oftewel een rachis, hebben, maar wel over andere kenmerken van veren beschikken - zoals weerhaken.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.014592170715332,409.35885633920094
31,"De structuur van de veren lijkt erop te wijzen dat deze niet gebruikt werden om te vliegen, maar om de temperatuur te regelen of om hoe het eruit zag. De onderzoekers suggereerden dat dit de staart van een jonge dinosaurus is, maar dat dit monster juist volwassen veren laat zien en dus niet het dons van een kuiken.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.246429443359375,189.88705411155598
32,"De onderzoekers suggereerden dat, ondanks dat het om de staart van een jonge dinosaurus gaat, het monster het verenkleed van een volwassene had en niet het dons van een kuiken.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.565317630767822,261.20815828248533
33,"Gistermorgen ontplofte een autobom bij het hoofdbureau van de politie in Gaziantep, Turkije. Hierbij kwamen twee politieagenten om het leven en raakten meer dan twintig andere personen gewond.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.817073345184326,335.9872944745268
34,"Onder de gewonden zijn negentien politieagenten, zei de gouverneur.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.2237162590026855,185.62272600479093
35,De politie verdenkt een vermeende Daesh-militair (ISIS) van de aanval.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.790970802307129,327.3306435222512
36,Hieruit bleek dat de zon dezelfde basisprincipes als andere sterren volgt: alle sterrenactiviteit in het stelsel is uitsluitend gebaseerd de helderheid en rotatie van de sterren.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.347387790679932,210.05886284018064
37,De helderheid en rotatie worden gebruikt om het getal van Rossby van een ster te bepalen. Dit is verwant aan de plasmastroming.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.688835620880127,295.5492887922169
38,"Hoe kleiner het aantal Rossby-golven, hoe minder actief de ster is als het gaat om magnetische omkeringen.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.907779693603516,367.888422918354
39,Iwasaki raakte tijdens zijn tocht op verschillende momenten in de problemen.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.625866413116455,277.5126209675637
40,"Piraten beroofden hem, een hondsdolle hond viel hem aan in Tibet, hij ontsnapte in Nepal aan het huwelijk en werd in India gearresteerd.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.929724216461182,376.0507909049685
41,"De 802.11n-norm is compatibel met beide frequenties: 2,4 Ghz en 5,0 Ghz.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.980322360992432,1075.2649346042776
42,"Mits het basisstation over dubbele radio's beschikt, maakt dit achterwaartse compatibiliteit met 802.11a, 802.11b en 802.11g mogelijk.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.368763446807861,583.3360566654303
43,Snelheden van 802.11n zijn substantieel sneller dan die van voorlopers met een maximale theoretische capaciteit van 600Mbit/s.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.704416751861572,816.0019558706757
44,"Duvall is getrouwd met twee kinderen en maakte geen grote indruk op Miller, aan wie het verhaal verwant was.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.700164318084717,298.91651432096705
45,"Op een verzoek om commentaar reageerde Millar: 'Mike praat veel tijdens de zitting ... Ik was me aan het voorbereiden, dus luisterde niet echt naar hem.'",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.33682918548584,565.0019517051313
46,"'We doen ons uiterste best de koolstofdioxide-uitstoot per eenheid van het BBP in 2020 met een aanzienlijke marge te verminderen in vergelijking met het niveau van 2005,' zei Hu.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.568517208099365,262.04525244416055
47,"Hij heeft voor de bezuinigingen geen cijfers vastgesteld, omdat hij zegt dat deze zullen worden bepaald op basis van de economische productie van China.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.0141682624816895,150.53088250116133
48,Hu spoorde ontwikkelingslanden aan 'de oude manier van eerst vervuilen en later opruimen te vermijden'.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.603031158447266,737.3267596475065
49,"Hij voegde toe dat 'ze daarentegen niet gevraagd zouden moeten worden om verplichtingen aan te gaan die buiten hun ontwikkeling, niveau, verantwoordelijkheid en mogelijkheden liggen.'",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.265858173370361,526.2930428918767
50,De Irakese studiegroep presenteerde hun rapport vandaag om 12.00 uur GMT.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.384383201599121,592.5191549991025
51,"De waarschuwing is dat niemand kan garanderen dat geen enkele handelswijze in Irak op dit moment een einde zal maken aan sektarische oorlogsvoering, toenemend geweld of de neiging naar chaos.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.9912848472595215,399.9281265186361
52,In het begin van het rapport staat een pleidooi voor een open discussie en voor consensusvorming in de VS over het beleid met betrekking tot het Midden-Oosten.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,4.921855926513672,137.25711606499198
53,In het rapport wordt sterke kritiek geuit op vrijwel elk onderdeel van het huidige bestuursbeleid jegens Irak en raadt dringend een andere koers aan.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.684144020080566,799.6259214166263
54,"Het rapport bevat 78 aanbevelingen, waarvan de eerste is dat dit jaar nog diplomatieke actie moet worden ondernomen om de Iraakse grenzen te beschermen tegen vijandelijke machten en de diplomatieke verstandhoudingen met omliggende landen te herstellen.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.19827127456665,180.95914264953308
55,"Cristina Fernández de Kirchner, senator en de vrouw van de Argentijnse president, heeft gisteravond in La Plata, een stad op 50 km (31 mijl) afstand van Buenos Aires, aangekondigd zich verkiesbaar te willen stellen als president.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.172996997833252,176.44284469386062
56,"Mevrouw Kirchner kondigde haar intentie om voor het presidentschap te gaan aan in het Argentijnse Theater, waar ze in 2005 haar campagne voor de senaat startte als lid van de deelstaatafvaardiging van Buenos Aires.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.39211893081665,219.6683548075882
57,Het debat ontstond door een discussie over het investeren en opnieuw opbouwen na de orkaan Katrina. Enkele fiscale conservatieven noemden dit gekscherend 'De New Orleans Deal van Bush.',BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.800447940826416,898.2495641986575
58,Liberale kritiek op de reconstructiewerkzaamheden is gericht op het toekennen van reconstructiecontracten aan vermeende insiders uit Washington.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,6.2732014656066895,530.1719912026198
59,De begrafenis werd door meer dan vier miljoen mensen bijgewoond in Rome.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.052072525024414,156.34616026635013
