sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,10.99139404296875,59361.07829176131
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.960978507995605,156526.1719668698
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.775527000427246,130030.84888826686
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,12.245823860168457,208110.37358296668
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.12297534942627,67709.0649954486
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.5995454788208,109048.22328365524
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,9.387097358703613,11933.410601713136
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.571316719055176,106012.96946522765
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.269518852233887,78395.26838098613
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.648478507995605,114516.99375015165
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,12.477079391479492,262256.7832419184
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_bul-deu_late,step-26000,bul,11.29769229888916,80635.34039931836
