sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,وی افزود: «اکنون موش‌های 4 ماهه‌ای داریم که دیابت ندارند در حالی که قبلاً دیابت داشتند.»,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.250382423400879,1408.6434434286848
1,دکتر ایهود اور، استاد پزشکی دانشگاه دالهاوزی در هلیفکس، نوااسکوشیا و رئیس بخش کلینیکی و علمی انجمن دیابت کانادا هشدار داد که این تحقیق هنوز در روزهای آغازین خود می‌باشد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.401139259338379,602.5310861709979
2,مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.430356979370117,228.23070453667447
3,روز دوشنبه، سارا دانیوس، دبیر دائمی‌ کمیته ادبیات نوبل در آکادمی‌ سوئد، طی یک برنامه رادیویی که از رادیو Sveriges در سوئد پخش می‌شد به طور علنی اعلام کرد این کمیته، نتوانست در مورد برنده شدن جایزه نوبل ادبیات سال 2016 بطور مستقیم به باب دیلان دسترسی پیدا کند و دست از تلاش‌ برای تماس با او برداشته است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.174415588378906,480.30224766907287
4,دانیوس گفت، «در حال حاضر هیچ کاری نمی‌کنیم. من به نزدیکترین همکار وی ایمیل فرستاده‌ام و با وی تماس گرفته‌ام و پاسخ‌های بسیار صمیمانه‌ای دریافت کردم. فعلاً مطمئناً تا این حد کافی است.»,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.76619815826416,868.0055930661268
5,پیش از این، مدیرعامل رینگ، جیمی‌ سیمینوف، خاطر نشان کرد كه شركت هنگامی‌ شروع به کار می‌کند كه صدای زنگ در وی از گاراژ وی شنیده نشود.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.142377853393555,1264.4314498781907
6,وی گفت که یک زنگ درب WiFi ساخته است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.876393795013428,356.5212320464437
7,سیمینوف گفت پس از ظاهر شدن وی در سال 2013 در یک قسمت از نمایش Shark Tank، فروش افزایش یافت، جایی که نشست نمایش از پرداخت بودجه برای راه‌اندازی خودداری کرده بود.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.698780059814453,298.5030229193727
8,در اواخر سال 2017، سیمینوف در کانال تلویزیونی فروشگاهی QVC ظاهر شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.601370811462402,270.7973652437132
9,رینگ همچنین یک دعوای قانونی را با شرکت امنیتی رقیب، شرکت ADT، حل و فصل کرد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.298142433166504,199.9650163836838
10,با اینکه بنظر می‌رسد یک واکسن تجربی بتواند میزان مرگ و میر ایبولا را کاهش دهد، تا به امروز هیچ دارویی نبوده که به وضوح ثابت شود برای درمان عفونت کنونی است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.692933559417725,296.7629166002198
11,شربت حاوی پادتن ZMapp، در ابتدا انتظاراتی را در این زمینه ایجاد کرد، اما مطالعات رسمی‌ نشان می‌دهد که مفید بودن این شربت در پیشگیری از مرگ کمتر از حد انتظار است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.856200695037842,349.3941641385946
12,در آزمایش PALM، ZMapp به عنوان شاهد عمل می‌کرد، به این معنی که دانشمندان از آن به عنوان یک مرجع استفاده می‌کردند و سه روش درمانی دیگر را با آن مقایسه می‌کردند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.894918918609619,363.18738696673176
13,هیأت ژیمناستیک ایالات متحده آمریکا از نامه کمیته المپیک ایالات متحده حمایت می‌کند و نیاز قاطع خانواده المپیک به ترویج محیطی امن برای تمام ورزشکارهای ما را می‌پذیرد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.936590671539307,1029.255157470726
14,ما با بیانیه USOC موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار، بهتر می‌توان در خدمت منافع ورزشکاران و باشگاه‌های ما و ورزش آنها بود.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.903423309326172,995.6773997903166
15,هیأت ژیمناستیک ایالت متحده آمریکا از یک تحقیق مستقل حمایت می‌کند که احتمالاً بتواند روشن سازد که موضوع سوء استفاده از بخشی که بازماندگان لری نصار با جسارت بیان کرده بودند چطور مدت‌ها کشف‌نشده باقی ماند و ضمناً تغییرات لازم و مناسب را دربر گیرد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.827127933502197,922.5374151332112
16,هیأت ژیمناستیک ایالات متحده آمریکا و USOC نیز همان هدف را دارد - امن نمودن ورزش ژیمناستیک و سایر ورزش‌ها تا حد ممکن تا رؤیاهای خود را در محیطی امن، مثبت و توانمند دنبال کنند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.179442882537842,482.7229480413913
17,در طی دهه 1960، برژینسکی برای جان اف کندی به عنوان مشاور و سپس دولت لیندون بی جانسون کار می‌کرد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.355162620544434,575.4559140048096
18,در طی تصمیم‌گیری برای جانشین در سال 1976، او مشاور کارتر در سیاست خارجه شد، سپس با جانشین شدن بجای هنری کیسینجر به عنوان مشاور امنیت ملی (NSA) از سال 1977 تا 1981 خدمت کرد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.319943428039551,204.372319923127
19,او به عنوان مشاور امنیت ملی در امور سیاسی جهان به کاربر مشاوره داد؛ اموری مثل پیمان کمپ دیوید، 1978؛ عادی کردن روابط ایالت متحده و چین در اواخر دهه هفتاد؛ انقلاب ایران که منجر به بحران گروگانگیری در ایران شد، 1979؛ و حمله شوری به افغانستان، 1979.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.493824481964111,243.1854891442167
20,این فیلم با بازی رایان گاسلینگ و اما استون در تمام دسته‌بندی‌های اصلی کاندید شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.190744876861572,1327.0913571810606
21,گوسلینگ و استون به ترتیب نامزد بهترین بازیگر مرد و بازیگر زن شدند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.217203617095947,501.29944497422645
22,نامزدهای دیگر شامل بهترین تصویر، کارگردان، فیلمبرداری، طراحی صحنه و لباس، ویرایش فیلم، امتیاز اصلی، طراحی تولید، ویرایش صدا، ترکیب صدا و فیلمنامه اصلی است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.815764427185059,335.5478023495876
23,دو ترانه از این فیلم با نام‌های «شنوایی» (احمق‌هایی که رویا می‌بینند) و «شهر ستارگان»، نامزد دریافت بهترین آهنگ اصلی شدند. نامزدههای استودیوی Lionsgate 26 بیشتر از هر استودیوی دیگری بود.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.808374404907227,905.3977997949938
24,اواخر روز یکشنبه،‌ رئیس جمهور ایالات متحده، دونالد ترامپ در بیانیه‌ای از طریق دبیر مطبوعاتی کاخ سفید اعلام کرد نیروهای ایالات متحده از سوریه خارج خواهند شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,4.564493656158447,96.01396562602677
25,این اعلامیه پس از مکالمه تلفنی ترامپ با رئیس‌جمهور ترکیه،‌ رجب طیب اردوغان، منتشر شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.400967121124268,221.62064660302073
26,ترکیه همچنین محافظت از جنگجویان اسیر داعش را بر عهده خواهد گرفت، که به گفته این بیانیه، کشور‌های اروپایی از بازگشت آنها به وطن خود جلوگیری کرده‌اند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.572257041931152,263.0270929605366
27,این امر نه تنها تأیید می‌کند که حداقل برخی از دایناسورها دارای پر بودند، نظریه‌ای که قبلاً در محافل علمی شایع شده است، بلکه اطلاعاتی را در اختیار قرار می‌دهد که فسیل‌ها به طور کلی نمی‌توانند این اطلاعات را بدهند، مواردی از قبیل رنگ و چیدمان سه‌بعدی.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.599765777587891,734.9230336357564
28,دانشمندان می گویند که پرهای زینتی این حیوان در بالای به رنگ شاه بلوط قهوه ای و در پایین به رنگ کاروتنوئید بود.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.425382137298584,617.3166722010279
29,این یافته همچنین شناخت ما را در مورد تکامل پرها در پرندگان بیشتر می‌کند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.913276195526123,1005.5361848892165
30,از آنجا که پرهای این دایناسور میله‌ای که بخوبی توسعه یافته باشد ندارند که به آن ساقه گفته می‌شود، اما سایر ویژگی‌های پرها را دارند- ریش و موهای ریز - لذا محققان چنین استدلال می‌کنند که پیشرفت تکاملی ساقه احتمالاً دیرتر از سایر ویژگی‌ها بوده است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.76127290725708,2347.8913518875443
31,ساختار پرها نشان می‌دهد که در پرواز مورد استفاده قرار نمی‌گرفتند بلکه برای تنظیم دما یا نمایش استفاده می‌شدند. محققان معتقدند كه حتی اگر این دم یک دایناسور جوان باشد، باز هم این نمونه نشان دهنده پر حیوان بالغ است نه کرک یک جوجه.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.91808557510376,1010.383837839045
32,محققان اظهار داشتند كه حتی اگر این دم یک دایناسور جوان باشد، باز هم این نمونه نشان دهنده پر حیوان بالغ است نه کرک یک جوجه.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.586948871612549,725.5637011800844
33,صبح دیروز یک خودروی بمب‌گذاری شده در مرکز پلیس شهر قاضی عنتب ترکیه منفجر شد و منجر به کشته شدن دو افسر پلیس و زخمی شدن بیش از بیست نفر دیگر شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.404881954193115,222.48995492732377
34,دفتر فرماندار گفت که نوزده نفر از افراد مجروح از افسران پلیس بودند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.150241374969482,468.8305370826231
35,پلیس گفت این گمان وجود دارد که ستیزه‌جویان داعش (ISIL) مسئول این حمله باشند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.948485374450684,383.17253640943653
36,آنها دریافتند که خورشید بر اساس همان اصول اساسی کار می‌کند که سایر ستارگان عمل می‌کنند: مشخص شد که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.536303520202637,1874.8867192936282
37,از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.8717041015625,2622.0299886117705
38,هر چه عدد روسبی کوچکتر باشد، ستاره از نظر وارونگی مغناطیسی فعالیت کمتری دارد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.250327110290527,518.1822997109202
39,ایوازاکی در طی سفر خود، در بسیاری از موقعیت‌ها دچار دردسر شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.330264091491699,561.3048101054023
40,او مورد حمله دزدان دریایی قرار گرفت، یک سگ هار در تبت به او حمله کرد، از ازدواج در نپال فرار کرد و در هندوستان دستگیر شد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.434264659881592,229.12430202255283
41,سری 802.11n استاندارد در هر دو فرکانس 2.4 گیگاهرتز و 5.0 گیگاهرتز کار می‌کند.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.8365607261657715,931.2806912202865
42,این امر سبب می‌شود که با سری‌های قبلی 802.11a، 802.11b و 802.11g سازگاری داشته باشد، به شرط اینکه ایستگاه پایه مجهز به رادیوهای دوگانه باشد.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.630483627319336,757.8485983135158
43,سرعت 802.11n بسیار سریعتر از سیستم‌های قبلی است که حداکثر خروجی تئوری آنها 600Mbit/s بود.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.0811920166015625,1189.385441035101
44,دووال، که با داشتن دو فرزند بزرگسال، ازدواج کرده است، تأثیر زیادی بر میلر که داستان به وی مربوط می‌شود نگذاشت.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.83321475982666,341.45461111519455
45,هنگامی‌ که از میلر خواسته شد اظهارنظر کند گفت: «مایک در زمان دادرسی زیاد صحبت می‌کرد ... من داشتم آماده می‌شدم بنابراین واقعاً نمی‌شنیدم که چه می‌گوید.»,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,7.845051288604736,2553.0686035121144
46,هو گفت، «ما تلاش خواهیم کرد تا سال 2020 میزان انتشار دی اکسید کربن در هر واحد از تولید ناخالص داخلی را در حاشیه‌ای قابل توجه از سطح 2005 کاهش دهیم.»,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.071216106414795,159.36801801421265
47,او رقمی برای این کاهش‌ها تعیین نکرد و گفت که بر اساس بازده اقتصادی چین صورت خواهد گرفت.,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.094028472900391,443.20325197744535
48,او کشورهای در حال توسعه را ترغیب کرد «از مسیر قدیمی یعنی ابتدا آلوده کردن محیط زیست و سپس سعی در پاکسازی آن دوری کنند.»,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,5.86028528213501,350.82421362587564
49,او افزود: «با وجود این نباید از آنها خواست تعهداتی را بپریرند که از مرحله توسعه، مسئولیت‌پذیری و توانمندی فراتر بروند.»,BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.347538471221924,571.0852347151119
