sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.20797872543335,496.69627641302355
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.01041841506958,407.65385310997283
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.967241287231445,390.4271074642163
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.680622577667236,293.1318704810657
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.879365921020508,357.58243430451984
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.413567543029785,224.43082780650101
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.3729634284973145,585.7912096118905
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.143708229064941,1266.114738171871
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.3571929931640625,576.6254908730436
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.559281349182129,705.7643142009103
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.366039752960205,581.7493896153077
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.525265693664551,1854.305837959759
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.040809154510498,420.23293072536046
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.575689792633057,263.9315508996687
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.957169532775879,386.5145576994118
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.913296699523926,1005.5568026123143
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.7750115394592285,322.14815211249487
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.671292304992676,290.40958975934274
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.150454521179199,172.50988189513092
19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.428646564483643,227.84066899846778
20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.699429512023926,298.69694933329464
21,Gosling and Stone received nominations for Best Actor and Actress respectively.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.388969421386719,218.97759559997675
22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,4.835212707519531,125.86535286672115
23,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.80489444732666,331.9201564346125
24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.2596845626831055,523.0539233569735
25,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.8654327392578125,958.5605568489436
26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.294398307800293,1472.0309248537274
27,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.47032356262207,237.53703843529738
28,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.0664896965026855,431.1645037437865
29,The find also grants insight into the evolution of feathers in birds.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.450399875640869,632.9553456385297
30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.698068618774414,298.29073114378724
31,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.378530979156494,216.70369923366698
32,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.568480968475342,262.03575619480614
33,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.536589622497559,689.9296407728203
34,The governor's office said nineteen of the injured were police officers.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.216188907623291,500.7910296693103
35,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.0265092849731445,1126.0928721137911
36,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.663677215576172,288.2064937986571
37,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.695221900939941,297.44278909808384
38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.9985480308532715,1095.0420363267767
39,"During his trip, Iwasaki ran into trouble on many occasions.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.454535961151123,233.8163460234415
40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.496330738067627,243.79573866202915
41,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.851439476013184,347.73457596371674
42,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.205663681030273,182.30182288982695
43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.014435768127441,409.29483656125353
44,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.542232036590576,255.2470849457114
45,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.04140043258667,154.68649141351057
46,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.826373100280762,921.8413159966798
47,"He did not set a figure for the cuts, saying they will be made based on China's economic output.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.410678386688232,223.78334784291366
48,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.658379077911377,2118.321010930823
49,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.907032489776611,999.2774719436696
50,The Iraq Study Group presented its report at 12.00 GMT today.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.450382709503174,632.9444803331694
51,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.735283374786377,841.5819334008675
52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.444666862487793,231.52013882050306
53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.096853733062744,444.45718698130344
54,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.544247627258301,695.2334074617719
55,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.82513952255249,338.70838724007746
56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.570981502532959,262.69180542236495
57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.062122344970703,1166.9191445035622
58,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.292707443237305,1469.5440230268637
59,Over four million people went to Rome to attend the funeral.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.2111496925354,183.30468111830174
60,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.133791923522949,169.65923468978866
61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.468455791473389,237.09378768250772
62,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,4.655657768249512,105.17838024976086
63,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.452138423919678,634.056726189468
64,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.122867107391357,1240.0005565025458
65,"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.573498249053955,1945.935756415842
66,"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,7.016890048980713,1115.3126508975906
67,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.548802852630615,698.4075763577821
68,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,4.904093265533447,134.84058994888804
69,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,6.613160133361816,744.8330753651347
