sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.887829780578613,360.62180607256624
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.661129474639893,287.47315289430117
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.085187911987305,161.6103048980371
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.300851821899414,200.5075339596784
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.3059492111206055,201.53220826522502
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.930391311645508,376.30173626955917
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,6.231764316558838,508.65211564205015
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,7.260278224945068,1422.6522995010348
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,6.360244274139404,578.3876242781412
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,6.486122131347656,655.9746411069002
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.877847194671631,357.039776618214
