sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.623760223388672,752.770366699715
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.3844475746154785,592.5572984720515
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,5.992466449737549,400.4009618806673
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,5.7595295906066895,317.19908038968316
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.99840784072876,1094.8885330074347
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.560681343078613,706.7530718990237
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,7.278045654296875,1448.1550620985383
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,7.440052509307861,1702.8396337338024
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,7.06700325012207,1172.6286887040687
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.271063804626465,529.0398736970361
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.321412563323975,556.358329022565
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,7.570614337921143,1940.3319349695923
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,5.94564962387085,382.08749384928393
