repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_nld_mono,step-1000,1000,nld,5.5244,250.74
BeetleLM/beetlelm_nld_mono,step-2000,2000,nld,4.7969,121.14
BeetleLM/beetlelm_nld_mono,step-3000,3000,nld,4.518,91.66
BeetleLM/beetlelm_nld_mono,step-4000,4000,nld,4.3775,79.64
BeetleLM/beetlelm_nld_mono,step-5000,5000,nld,4.1772,65.18
BeetleLM/beetlelm_nld_mono,step-6000,6000,nld,3.991,54.11
BeetleLM/beetlelm_nld_mono,step-7000,7000,nld,3.8446,46.74
BeetleLM/beetlelm_nld_mono,step-8000,8000,nld,3.7103,40.86
BeetleLM/beetlelm_nld_mono,step-9000,9000,nld,3.6527,38.58
BeetleLM/beetlelm_nld_mono,step-10000,10000,nld,3.5798,35.86
BeetleLM/beetlelm_nld_mono,step-11000,11000,nld,3.5403,34.48
BeetleLM/beetlelm_nld_mono,step-12000,12000,nld,3.4771,32.37
BeetleLM/beetlelm_nld_mono,step-13000,13000,nld,3.441,31.22
BeetleLM/beetlelm_nld_mono,step-14000,14000,nld,3.3786,29.33
BeetleLM/beetlelm_nld_mono,step-15000,15000,nld,3.3074,27.32
BeetleLM/beetlelm_nld_mono,step-16000,16000,nld,3.2921,26.9
BeetleLM/beetlelm_nld_mono,step-17000,17000,nld,3.2587,26.02
BeetleLM/beetlelm_nld_mono,step-18000,18000,nld,3.2329,25.35
BeetleLM/beetlelm_nld_mono,step-19000,19000,nld,3.209,24.75
BeetleLM/beetlelm_nld_mono,step-20000,20000,nld,3.212,24.83
BeetleLM/beetlelm_nld_mono,step-21000,21000,nld,3.2053,24.66
BeetleLM/beetlelm_nld_mono,step-22000,22000,nld,3.1893,24.27
BeetleLM/beetlelm_nld_mono,step-23000,23000,nld,3.1963,24.44
BeetleLM/beetlelm_nld_mono,step-24000,24000,nld,3.1901,24.29
BeetleLM/beetlelm_nld_mono,step-25000,25000,nld,3.1874,24.22
BeetleLM/beetlelm_nld_mono,step-26000,26000,nld,3.1916,24.33
BeetleLM/beetlelm_nld_mono,step-27000,27000,nld,3.177,23.97
BeetleLM/beetlelm_nld_mono,step-28000,28000,nld,3.1652,23.69
BeetleLM/beetlelm_nld_mono,step-29000,29000,nld,3.1603,23.58
BeetleLM/beetlelm_nld_mono,step-30000,30000,nld,3.1455,23.23
