sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.218920707702637,502.16096098117737
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.537290096282959,253.9887808809435
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.478687286376953,239.53206389761448
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.2637224197387695,193.19932340712472
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.2772417068481445,532.318346924316
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.526523590087891,683.0196232250711
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,7.517411708831787,1839.7991900994841
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,7.483764171600342,1778.9243655273388
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.974096298217773,1068.5910651458714
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.271370887756348,529.2023578640802
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.884103775024414,359.2806273914268
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,7.374328136444092,1594.5201705429786
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.058259963989258,427.63069629863725
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.0521135330200195,156.35257184046526
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.729451656341553,307.8004416738559
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,6.886054992675781,978.5334709865461
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.235992908477783,187.91559673403808
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.047224044799805,155.58995370777058
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,4.7149224281311035,111.60015380542843
19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.8531718254089355,348.33749582942016
