sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.593545436859131,730.3657505782685
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.0526204109191895,425.22583782973663
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,5.979400157928467,395.2032375132997
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,5.505153656005859,245.9562454297254
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,5.846175193786621,345.9088128983323
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.16874885559082,477.58820032730046
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,7.527156352996826,1857.8150148809145
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,7.360169887542725,1572.103621093248
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.954485893249512,1047.839697991356
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,7.256522178649902,1417.3187743562594
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.660616397857666,781.0322153664479
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,7.725586414337158,2265.5807670356594
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.079251289367676,436.7021087753108
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,5.4737677574157715,238.3565727741969
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,step-30000,eng,6.44904088973999,632.0957524677152
