sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,وی افزود: «اکنون موش‌های 4 ماهه‌ای داریم که دیابت ندارند در حالی که قبلاً دیابت داشتند.»,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,7.200315952301025,1339.8540274884456
1,دکتر ایهود اور، استاد پزشکی دانشگاه دالهاوزی در هلیفکس، نوااسکوشیا و رئیس بخش کلینیکی و علمی انجمن دیابت کانادا هشدار داد که این تحقیق هنوز در روزهای آغازین خود می‌باشد.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.225678443908691,505.56592425239495
2,مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.571230888366699,262.75732520679037
3,روز دوشنبه، سارا دانیوس، دبیر دائمی‌ کمیته ادبیات نوبل در آکادمی‌ سوئد، طی یک برنامه رادیویی که از رادیو Sveriges در سوئد پخش می‌شد به طور علنی اعلام کرد این کمیته، نتوانست در مورد برنده شدن جایزه نوبل ادبیات سال 2016 بطور مستقیم به باب دیلان دسترسی پیدا کند و دست از تلاش‌ برای تماس با او برداشته است.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.860071659088135,350.7492774927709
4,دانیوس گفت، «در حال حاضر هیچ کاری نمی‌کنیم. من به نزدیکترین همکار وی ایمیل فرستاده‌ام و با وی تماس گرفته‌ام و پاسخ‌های بسیار صمیمانه‌ای دریافت کردم. فعلاً مطمئناً تا این حد کافی است.»,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.948208808898926,383.0665787382823
5,پیش از این، مدیرعامل رینگ، جیمی‌ سیمینوف، خاطر نشان کرد كه شركت هنگامی‌ شروع به کار می‌کند كه صدای زنگ در وی از گاراژ وی شنیده نشود.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.441667556762695,627.4522401299909
6,وی گفت که یک زنگ درب WiFi ساخته است.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.200356960296631,492.92496433406757
7,سیمینوف گفت پس از ظاهر شدن وی در سال 2013 در یک قسمت از نمایش Shark Tank، فروش افزایش یافت، جایی که نشست نمایش از پرداخت بودجه برای راه‌اندازی خودداری کرده بود.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.739379405975342,310.8714261554627
8,در اواخر سال 2017، سیمینوف در کانال تلویزیونی فروشگاهی QVC ظاهر شد.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.504552841186523,245.80851565612556
9,رینگ همچنین یک دعوای قانونی را با شرکت امنیتی رقیب، شرکت ADT، حل و فصل کرد.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.446193218231201,231.87379074476888
10,با اینکه بنظر می‌رسد یک واکسن تجربی بتواند میزان مرگ و میر ایبولا را کاهش دهد، تا به امروز هیچ دارویی نبوده که به وضوح ثابت شود برای درمان عفونت کنونی است.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.350237846374512,210.6583962443867
11,شربت حاوی پادتن ZMapp، در ابتدا انتظاراتی را در این زمینه ایجاد کرد، اما مطالعات رسمی‌ نشان می‌دهد که مفید بودن این شربت در پیشگیری از مرگ کمتر از حد انتظار است.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.638343811035156,280.9969488346616
12,در آزمایش PALM، ZMapp به عنوان شاهد عمل می‌کرد، به این معنی که دانشمندان از آن به عنوان یک مرجع استفاده می‌کردند و سه روش درمانی دیگر را با آن مقایسه می‌کردند.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,5.635496616363525,280.19803369236473
13,هیأت ژیمناستیک ایالات متحده آمریکا از نامه کمیته المپیک ایالات متحده حمایت می‌کند و نیاز قاطع خانواده المپیک به ترویج محیطی امن برای تمام ورزشکارهای ما را می‌پذیرد.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.614691257476807,745.9743807656118
14,ما با بیانیه USOC موافقیم که با پیشروی و تغییرات معنادار در سازمان ما به جای لغو اعتبار، بهتر می‌توان در خدمت منافع ورزشکاران و باشگاه‌های ما و ورزش آنها بود.,BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.486687183380127,656.3454056518718
