sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.7978515625,895.9203935110519
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.1920552253723145,488.8497709350307
2,"Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.006508827209473,406.06320596817574
3,"Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.135875701904297,462.1436169177118
4,Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.183230876922607,484.5549675070723
5,"Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.712154865264893,302.5222611267475
6,"Er sagte, dass er eine WLAN-Türklingel gebaut habe.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,4.57116174697876,96.65633477659773
7,"Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.889542102813721,361.23983579157607
8,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.4282121658325195,619.0661703950825
9,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.5063276290893555,669.3637464866877
10,"Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.984501838684082,397.2245900281228
11,"Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.925709247589111,1018.116110008334
12,"In der PALM-Studie diente ZMapp als Kontrolle, d.h. die Wissenschaftler verwendeten es als Ausgangsbasis und verglichen die drei anderen Behandlungen damit.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.620200157165527,750.095219020308
13,"USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert es als absolute Notwendigkeit, dass sich die olympische Familie für ein sicheres Umfeld für alle unsere Sportler einsetzt.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.677366256713867,292.17889147395834
14,"Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.434684753417969,623.0861261274807
15,"USA Gymnastics unterstützt eine unabhängige Untersuchung, die ans Licht bringen könnte, wie Missbrauch in dem Ausmaß, das von den Überlebenden von Lary Nassar so mutig beschrieben wurde, so lange unentdeckt bleiben konnte, und heißt alle notwendigen und angemessenen Veränderungen willkommen.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.024153709411621,413.29172907932264
16,"USA Gymnastics und das USOC haben das gleiche Ziel - den Turnsport und andere Sportarten für die Athleten so sicher wie möglich zu machen, damit sie ihren Träumen in einer sicheren, positiven und selbstbestimmten Umgebung folgen können.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.610262393951416,742.6778673321943
17,Während der 1960er-Jahre arbeitete Brzezinski als Berater für John F. Kennedy sowie anschließend für die Regierung rund um Lyndon B. Johnson.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.504172325134277,245.71499936349323
18,Während der Wahlen im Jahre 1976 beriet er Carter in der Außenpolitik und diente dann von 1977 bis 1981 in Nachfolge von Henry Kissinger als als nationaler Sicherheitsberater (NSA).,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.250178813934326,518.1054608616266
19,"Als nationaler Sicherheitsberater unterstützte er Carter bei der diplomatischen Handhabung von Weltangelegenheiten wie dem Camp-David-Abkommen von 1978, der Normalisierung der Beziehungen zwischen den USA und China Ende der 1970er Jahre, der iranischen Revolution, die zur Geiselkrise im Iran 1979 führte, und der sowjetischen Invasion in Afghanistan 1979.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.6877264976501465,295.22166992884434
20,Der Film mit Ryan Gosling und Emma Stone hat Nominierungen in allen Hauptkategorien erhalten.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.004638671875,405.3045143541117
21,Gosling und Stone wurden als bester Schauspieler beziehungsweise beste Schauspielerin nominiert.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.929800033569336,1022.2895355928075
22,"Weitere Nominierungen gibt es zum Beispiel für den besten Film, die Regie, die Kameraführung, das Kostümbild, den Schnitt, die Original-Filmmusik, das Produktionsdesign, den Tonschnitt, die Tonmischung und das Original-Drehbuch.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.388393878936768,218.8516009592308
23,"Zwei Lieder aus dem Kinofilm, Audition (The Fools Who Dream) und City of Stars, bekamen Nominierungen für das beste eigenständige Lied. Lionsgate Studio bekam 26 Nominierungen – mehr als jedes andere Filmstudio.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.171284198760986,478.80058656730745
24,"Am späten Sonntag kündigte der Präsident der Vereinigten Staaten, Donald Trump, in einer durch den Pressesekretär verlesenen Erklärung an, dass die US-Truppen Syrien verlassen würden.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.423706531524658,226.71790411530395
25,Die Ankündigung erfolgte nach einem Telefongespräch von Trump mit dem türkischen Präsidenten Recep Tayyip Erdoğan.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,6.05495023727417,426.2176951725623
26,"Die Türkei würde die Überwachung gefasster ISIS-Kämpfer durchführen, deren Rückführung, so hieß es in dem Statement, von europäischen Ländern abgelehnt wurde.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,4.932910919189453,138.78291076311567
27,"Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa Farbe und dreidimensionale Anordnung.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.303841590881348,201.10790219931516
28,"Wissenschaftler sagen, dass das Gefieder dieses Tieres auf der Oberseite kastanienbraun und auf der Unterseite hell- oder carotinoidfarben war.",BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.852744102478027,348.1885357538498
29,Der Fund gewährt auch Einblicke in die Evolution von Federn bei Vögeln.,BeetleLM/beetlelm_bul-deu_sequential,step-17000,deu,5.550832748413086,257.45185929025865
