sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,6.7850565910339355,884.5301420040357
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.217013359069824,1362.4139370436474
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,6.742104530334473,847.3421178980662
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.246212482452393,1402.7817134798292
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,6.985651969909668,1081.0109746600756
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,6.595911979675293,732.0962392285752
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.1239423751831055,1241.3346062645376
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.410499572753906,1653.2520602800028
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.453998565673828,1726.7538984960706
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,8.47219181060791,4779.980808923638
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.626657485961914,2052.1791057014425
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,6.659191608428955,779.9202013035698
12,"ZMapp служи като контрола в проучването PALM, което означава, че учените го използват като базова линия и сравняват другите три лечения с него.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.104911804199219,1217.93466327446
13,Американската гимнастическа асоциация подкрепя писмото на Олимпийския комитет на САЩ и приема необходимостта олимпийското семейство да осигури безопасна среда за всички наши спортисти.,BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.90418815612793,2708.602656885079
14,"Съгласни сме с изявлението на ОК на САЩ, че интересите на нашите спортисти и клубове, и на техния спорт, могат да бъдат по - добре обслужени чрез преминаване към значима промяна в нашата организация, а не чрез десертификация.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,6.922037124633789,1014.3843184617307
15,"Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.",BeetleLM/beetlelm_bul-ind_heritage,step-5499,bul,7.3596978187561035,1571.361655187647
