sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.60541296005249,739.085018788218
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.105645656585693,448.3820488391758
2,"Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.520133018493652,249.6682454749127
3,"Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.494070053100586,243.24521581443295
4,Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.737104892730713,310.1651485027219
5,"Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.085371971130371,439.3832201528344
6,"Er sagte, dass er eine WLAN-Türklingel gebaut habe.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.182570934295654,178.1402095447678
7,"Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.000337600708008,403.56501433188106
8,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.265865802764893,526.297058204457
9,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.649770259857178,772.6068063462532
10,"Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.007864952087402,406.61425194292747
11,"Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.796566486358643,894.7698070427466
12,"In der PALM-Studie diente ZMapp als Kontrolle, d.h. die Wissenschaftler verwendeten es als Ausgangsbasis und verglichen die drei anderen Behandlungen damit.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,6.927038669586182,1019.4705160496657
13,"USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert es als absolute Notwendigkeit, dass sich die olympische Familie für ein sicheres Umfeld für alle unsere Sportler einsetzt.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,4.773433208465576,118.32477904877031
14,"Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.9245219230651855,374.09954423839457
15,"USA Gymnastics unterstützt eine unabhängige Untersuchung, die ans Licht bringen könnte, wie Missbrauch in dem Ausmaß, das von den Überlebenden von Lary Nassar so mutig beschrieben wurde, so lange unentdeckt bleiben konnte, und heißt alle notwendigen und angemessenen Veränderungen willkommen.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.718464374542236,304.4370625161605
16,"USA Gymnastics und das USOC haben das gleiche Ziel - den Turnsport und andere Sportarten für die Athleten so sicher wie möglich zu machen, damit sie ihren Träumen in einer sicheren, positiven und selbstbestimmten Umgebung folgen können.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.824521541595459,338.4991365699005
