sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.879822731018066,357.7458188504673
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.730382442474365,308.0870714314475
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.701082706451416,299.1911618675856
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.177806377410889,177.29346915612254
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.287567615509033,197.8615642109605
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.493861675262451,243.1945341828727
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,6.456350326538086,636.7329434014987
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,7.300024032592773,1480.335503457376
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,6.320791244506836,556.0127604889046
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,6.333431720733643,563.0856346424274
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.812661647796631,334.5082850749852
