sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""Сега имаме мишки на 4 месеца, които преди имаха диабет, но сега нямат, добави той.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.273628234863281,530.3983005966822
1,"Д - р Ехуд Ур, професор по медицина в университета „Далхаузи“ в Халифакс, Нова Скотия и председател на клиничния и научен отдел на Канадската асоциация за диабет, предупреди, че изследването все още е в началото си.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.2178497314453125,501.6234463986663
2,"Той е скептично настроен, подобно на някои други експерти, относно това дали диабетът може да бъде излекуван, като отбеляза, че тези находки нямат отношение към хората, които вече имат диабет тип 1.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.139748573303223,463.9369100692605
3,"В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.173623561859131,479.92198615988946
4,"Даниъс каза: „Засега не правим нищо. Обадих се, изпратих имейл на най - близкия му сътрудник, получих много приятелски отговори. В момента това е достатъчно.“",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.988096714019775,1083.657002986528
5,"По - рано Джейми Симиноф, изпълнителният директор на Ринг, отбеляза, че компанията е започнала, когато звънецът на вратата му не се е чувал в магазина му в гаража.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,5.665131092071533,288.6258151926989
6,"Той каза, че е създал WiFi звънец.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,5.506932735443115,246.3942106003309
7,"Симиноф каза, че продажбите са се увеличили след като през 2013 г. се появил в епизод на Shark Tank, където журито в шоуто е отказало да финансира стартиращата компания.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.646169185638428,769.8295953672946
8,Симиноф се появи по канала за телевизионно пазаруване QVC в края на 2017 г.,BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.690673828125,804.8644097390439
9,Ринг също постигна съдебно споразумение с конкурентната охранителна фирма ADT Corporation.,BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.729841709136963,837.0147636781523
10,"Досега не са ясно демонстрирани лекарства, подходящи за лечение на съществуваща инфекция, въпреки че една експериментална ваксина изглежда способна да намали смъртността от ебола.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.55007791519165,699.2986576822315
11,"Един коктейл от антитела, ZMapp, първоначално беше много обещаващ в тази област, но официалните проучвания показват, че той има по-малък принос, отколкото е необходим, за предотвратяване на смъртни случаи.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,5.806916236877441,332.5919079798904
12,"ZMapp служи като контрола в проучването PALM, което означава, че учените го използват като базова линия и сравняват другите три лечения с него.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.694883823394775,808.2600278496041
13,Американската гимнастическа асоциация подкрепя писмото на Олимпийския комитет на САЩ и приема необходимостта олимпийското семейство да осигури безопасна среда за всички наши спортисти.,BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.666218280792236,785.4197441425656
14,"Съгласни сме с изявлението на ОК на САЩ, че интересите на нашите спортисти и клубове, и на техния спорт, могат да бъдат по - добре обслужени чрез преминаване към значима промяна в нашата организация, а не чрез десертификация.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.185802459716797,485.8026442888471
15,"Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.081687927246094,437.76749112351405
16,"Американската гимнастика и Олимпийският комитет на САЩ имат еднаква цел — да направят спортната гимнастика, както и други, възможно най - безопасни за спортистите, за да следват мечтите си в безопасна, позитивна и пълноценна среда.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.279976844787598,533.7763039787703
17,"През 60-те години Бжежински работи като съветник на Джон Ф. Кенеди, а след това и в администрацията на Линдън Б. Джонсън.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.890844821929932,983.2317221600484
18,"По време на изборите през 1976 г. съветва Картър по външната политика, след което от 1977 до 1981 г. е съветник по националната сигурност (НАС), наследявайки Хенри Кисинджър.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,7.055750846862793,1159.5077572748248
19,"Като съветник по националната сигурност той е помагал на Картър да се справя дипломатично със световните дела, като например споразумението в Кемп Дейвид през 1978 г.; нормализирането на американско-китайските отношения в края на 1970-те години; иранската революция, довела до кризата с иранските заложници през 1979 г. и съветската инвазия в Афганистан през 1979 г.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.295874118804932,542.3296998499263
20,С участието на Райън Гослинг и Ема Стоун филмът получи номинации във всички главни категории.,BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,7.46594762802124,1747.5107539965375
21,За най-добър актьор и най-добра актриса номинации получиха съответно Гослинг и Стоун.,BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.572280406951904,714.9984729460268
22,"Другите номинации включват най - добър филм, режисьор, редактиране на филми, оригинален резултат, звукосмесване, дизайн на продукция, кинематография, редактиране на звук, дизайн на костюми и оригинален сценарий.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,5.43923282623291,230.26546205933928
23,"Две песни от филма, „Audition“ (The Fools Who Dream) и „City of Stars“, получиха номинации за най-добра оригинална песен. Студио Lionsgate получи 26 номинации – повече от което и да е друго студио.",BeetleLM/beetlelm_bul-fra_heritage,step-16000,bul,6.8957600593566895,988.0764362260924
