sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.19795560836792,491.7426981070237
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.086702346801758,161.8552385913921
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.156519889831543,173.55939755717134
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.875256538391113,131.00775741956124
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.226248741149902,186.0934079898193
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.75103235244751,314.51518326504913
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.911190986633301,1003.4416164597376
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.115480422973633,1230.8748097137147
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.821516513824463,337.483464090363
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.936862945556641,1029.5354350617338
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.120275974273682,454.99024277646333
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.996264457702637,1092.544280723043
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.524341583251953,250.72120462329835
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.194209098815918,180.22554581679432
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.384772300720215,218.06044624759457
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.021036148071289,1119.946447116365
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.174806594848633,176.76242420686137
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.481599807739258,88.37594416134627
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.253681182861328,70.36395877548028
19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.453132629394531,233.4884542441407
20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.7223052978515625,112.42713218224299
21,Gosling and Stone received nominations for Best Actor and Actress respectively.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.492913246154785,89.3814571426881
22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,3.4043917655944824,30.09598474240954
23,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.070720672607422,159.28908126585586
24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.508819580078125,246.8595570748892
25,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.05661678314209,426.9285987234369
26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.151579856872559,469.45847842242927
27,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.274638652801514,195.31988546595872
28,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.956552982330322,142.10311873521835
29,The find also grants insight into the evolution of feathers in birds.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.843850135803223,345.1054891004702
30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.183937072753906,178.38374004630415
31,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.299302577972412,200.19713938091425
32,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.869173049926758,353.95615514015464
33,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.85308313369751,348.3066025507704
34,The governor's office said nineteen of the injured were police officers.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.987921714782715,398.585374440132
35,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.121850490570068,455.7071966080408
36,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.071747303009033,159.45269625101665
37,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.9638190269470215,143.1394066339085
38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.024479866027832,1123.8098752670198
39,"During his trip, Iwasaki ran into trouble on many occasions.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.806265830993652,122.2741715368871
40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.309135437011719,202.17535947350103
41,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.591155529022217,98.60830911707261
42,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.923864364624023,373.8536327846825
43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.36223030090332,213.19991655601603
44,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.310208320617676,202.3923865037621
45,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.912500381469727,135.97898904296278
46,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.837353706359863,932.0194712438143
47,"He did not set a figure for the cuts, saying they will be made based on China's economic output.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.342357158660889,209.00478755431354
48,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,8.322083473205566,4113.721915310772
49,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.485052108764648,655.2731088216642
50,The Iraq Study Group presented its report at 12.00 GMT today.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.289342880249023,538.7991571627236
51,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.119458198547363,1235.7807042711772
52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.64594841003418,283.1419636019138
53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.840941429138184,344.1031369450858
54,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.061304092407227,157.7961629811331
55,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.601385593414307,99.62225599706895
56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.437960147857666,84.60218958170275
57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.387342929840088,594.2754484690656
58,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.451952934265137,633.9391261335018
59,Over four million people went to Rome to attend the funeral.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.661334991455078,105.77719959801743
60,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.475924491882324,87.87580333508458
61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.705653667449951,110.57053769167837
62,"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.143374443054199,63.01510396001111
63,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.167940616607666,477.2023508761901
64,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.0286664962768555,415.16104129721805
65,"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.4361701011657715,1696.241332212961
66,"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.297433376312256,543.1759911274115
67,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.287901878356934,1462.4989751548326
68,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,3.9558260440826416,52.23882770129346
69,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.578641891479492,264.711854126057
70,"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.517466068267822,249.00327980057594
71,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.874064922332764,355.69190556178194
72,"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.620298862457275,275.97184853606956
73,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.927205562591553,137.99335924572637
74,"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.655984401702881,285.99788100039603
75,"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.685153007507324,294.4628966378976
76,"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.165363311767578,475.97403849521993
77,Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.159816265106201,1286.6745041830625
78,U.S. President George W. Bush welcomed the announcement.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,3.474933624267578,32.29568481573223
79,"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.306072235107422,547.8887388876237
80,"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,3.168485164642334,23.77144723938929
81,The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.808726787567139,122.57545353199689
82,The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.017002582550049,150.95814040914698
83,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.822562217712402,337.8365564437255
84,Water is spilling over the levee in a section 100 feet wide.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.742001056671143,847.2544448410379
85,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.3577351570129395,576.9382011309746
86,"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.""",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.572366714477539,263.05594139350194
87,The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.595370769500732,731.7001284943957
88,"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.63649845123291,103.18241603095088
89,The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.934113502502441,138.94990917035008
90,"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.934471607208252,138.99967669715684
91,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,6.29776668548584,543.3570668435472
92,"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.",BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,4.0523152351379395,57.53049960780464
93,Television reports show white smoke coming from the plant.,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,7.763186931610107,2352.3895765958714
