sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.3597731590271,1571.480046460341
1,埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.332491874694824,1529.1875720472306
2,和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,8.352767944335938,4241.905867718815
3,周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.332757472991943,562.7061033883102
4,达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.975260257720947,2908.1146329077446
5,此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.726866245269775,834.5279580274253
6,他称，他制作了一个 WiFi 门铃。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.523014545440674,1850.1362156458995
7,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.755252838134766,858.5567983477326
8,2017 年年末，西米诺夫出现在 QVC 电视销售频道。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,8.000739097595215,2983.1620203189027
9,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.161856651306152,1289.3024972338708
10,虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.614063739776611,2026.4965422027149
11,一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.327598571777344,1521.7230719639915
12,在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.915489196777344,1007.7639017854999
13,美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.946691513061523,1039.7041838418977
14,我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.560412406921387,1920.637434236867
15,根据美国体操协会支持的一项独立调查，我们也许能够得知，幸存者勇敢曝光的、拉里·纳萨尔的大规模性侵行为，为什么在这么长时间内都没有被发现。此外，协会还表示会做出必要和适当的整改。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.69901180267334,2206.1667862135996
16,美国体操协会和美国奥委会有一个共同的目标，那就是尽可能保证体操运动和其他运动的安全性，让运动员在安全、积极和充满支持的环境中追求他们的梦想。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.062317371368408,1167.146746734228
17,20 世纪 60 年代，布热津斯基先是为约翰·福特·肯尼迪效力，担任他的顾问，后来又为林登·贝恩斯·约翰逊政府工作。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.20315408706665,1343.6621151615498
18,在 1976 年总统选举期间，他为卡特提供了对外政策方面的建议，随后在 1977 到 1981 年接替亨利·基辛格担任国家安全顾问 (NSA) 。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.232136249542236,508.84133532727253
19,身为国家安全顾问，他曾协助卡特处理诸多国际事务，例如 1978 年签署《戴维营协议》；在20 世纪 70 年代末实现美中关系正常化；1979 年导致伊朗人质危机的伊朗革命；1979 年苏联入侵阿富汗。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.094599723815918,443.4565045694027
20,这部由瑞恩·高斯林 (Ryan Gosling) 和艾玛·斯通 (Emma Stone) 主演的电影获得了各大奖项的提名。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.1790995597839355,482.5572467156413
21,高斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,5.70416784286499,300.115632741797
22,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳电影剪辑、最佳原创配乐、最佳艺术指导、最佳音效剪辑、最佳混音和最佳原创剧本。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.8726487159729,965.5025239210307
23,该电影的两首歌曲《追梦痴子心》和《星光之城》获得了最佳原创歌曲的提名。狮门影业获得了 26 项提名，比其他任何一家工作室都要多。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.211904525756836,1355.471340719931
24,周日晚些时候，美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美军将撤离叙利亚。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.042881965637207,1144.681791073143
25,特朗普与土耳其总统雷杰普·塔伊普·埃尔多安（Recep Tayyip Erdoğan）通话后发表了声明。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,6.788638114929199,887.7037876951982
26,该声明称，土耳其还将接管对被捕的伊斯兰国武装分子的看守任务；欧洲国家拒绝将他们遣送回国。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.077924728393555,1185.5057175476236
27,这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。,BeetleLM/beetlelm_zho-fas_late,step-15000,zho,7.376728057861328,1598.3514892434705
