sentence_id,sentence,repo,revision,iso_code,nll,ppl
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.751221656799316,314.57472799381077
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,4.96036958694458,142.64650644229542
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.992800235748291,400.53463242786904
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.130050182342529,169.02559993261696
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.529653549194336,252.05657069283293
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.421904563903809,226.3097336584419
6,"He built a WiFi door bell, he said.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.761086940765381,317.693455285357
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,6.555235385894775,702.9145865303557
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,6.072295665740967,433.6751127960608
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,6.354037761688232,574.808971251446
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.510458469390869,247.2644642731376
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,6.710642337799072,821.0978923082479
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.906792640686035,367.5254767302195
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,4.656650543212891,105.28285056153602
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",BeetleLM/beetlelm_eng-bul_simultaneous,step-12000,eng,5.416870594024658,225.17335991117665
